 1 2  1.81E-06 4.66E-06 8.27E-06 1.34E-05 2.08E-05 3.11E-05 4.56E-05 6.48E-05 9.11E-05 1.25E-04
 1 3  2.26E-06 3.17E-06 4.59E-06 6.84E-06 1.02E-05 1.50E-05 2.13E-05 2.90E-05 3.90E-05 5.08E-05
 1 4  1.37E-05 1.77E-05 2.32E-05 3.20E-05 4.52E-05 6.27E-05 8.41E-05 1.09E-04 1.38E-04 1.73E-04
 1 5  9.81E-06 1.53E-05 2.99E-05 5.43E-05 8.74E-05 1.26E-04 1.68E-04 2.12E-04 2.58E-04 3.05E-04
 1 6  2.72E-05 7.19E-05 1.13E-04 1.52E-04 1.90E-04 2.29E-04 2.68E-04 3.11E-04 3.58E-04 4.07E-04
 1 7  3.24E-05 5.14E-05 8.52E-05 1.30E-04 1.78E-04 2.28E-04 2.82E-04 3.39E-04 4.03E-04 4.74E-04
 1 8  8.03E-05 1.18E-04 1.73E-04 2.40E-04 3.09E-04 3.80E-04 4.53E-04 5.30E-04 6.15E-04 7.10E-04
 2 3  4.09E-02 4.80E-02 5.53E-02 6.26E-02 6.88E-02 7.49E-02 8.09E-02 8.66E-02 9.26E-02 9.94E-02
 2 4  1.03E-01 1.24E-01 1.39E-01 1.50E-01 1.60E-01 1.71E-01 1.81E-01 1.91E-01 2.01E-01 2.10E-01
 2 5  8.49E-02 8.84E-02 9.52E-02 1.02E-01 1.08E-01 1.13E-01 1.17E-01 1.21E-01 1.24E-01 1.28E-01
 2 6  6.73E-02 6.27E-02 5.90E-02 5.78E-02 5.78E-02 5.87E-02 6.04E-02 6.26E-02 6.50E-02 6.75E-02
 2 7  3.79E-02 4.02E-02 3.97E-02 3.96E-02 3.92E-02 3.95E-02 4.00E-02 4.04E-02 4.11E-02 4.19E-02
 2 8  1.23E-01 1.46E-01 1.41E-01 1.32E-01 1.23E-01 1.15E-01 1.08E-01 1.04E-01 9.96E-02 9.61E-02
 3 4  4.43E-01 5.34E-01 6.23E-01 7.13E-01 8.08E-01 9.16E-01 1.02E+00 1.14E+00 1.26E+00 1.38E+00
 3 5  2.15E-01 2.33E-01 2.39E-01 2.49E-01 2.62E-01 2.76E-01 2.93E-01 3.13E-01 3.34E-01 3.57E-01
 3 6  1.31E-01 1.27E-01 1.27E-01 1.33E-01 1.42E-01 1.53E-01 1.66E-01 1.79E-01 1.93E-01 2.06E-01
 3 7  4.82E-02 5.72E-02 6.24E-02 6.61E-02 7.01E-02 7.44E-02 7.93E-02 8.47E-02 9.03E-02 9.61E-02
 3 8  1.23E-01 1.93E-01 2.17E-01 2.20E-01 2.18E-01 2.15E-01 2.13E-01 2.11E-01 2.11E-01 2.11E-01
 4 5  2.87E-01 4.84E-01 6.42E-01 7.79E-01 9.09E-01 1.03E+00 1.16E+00 1.28E+00 1.41E+00 1.53E+00
 4 6  3.65E-01 4.40E-01 4.68E-01 4.95E-01 5.28E-01 5.62E-01 6.02E-01 6.44E-01 6.88E-01 7.35E-01
 4 7  2.28E-01 2.90E-01 3.18E-01 3.36E-01 3.54E-01 3.74E-01 3.93E-01 4.12E-01 4.32E-01 4.51E-01
 4 8  5.58E-01 9.03E-01 1.01E+00 1.03E+00 1.01E+00 9.87E-01 9.60E-01 9.33E-01 9.19E-01 9.01E-01
 5 6  1.19E+00 1.64E+00 1.77E+00 1.82E+00 1.86E+00 1.88E+00 1.92E+00 1.97E+00 2.02E+00 2.06E+00
 5 7  5.86E-01 8.99E-01 1.03E+00 1.09E+00 1.12E+00 1.16E+00 1.18E+00 1.21E+00 1.23E+00 1.25E+00
 5 8  1.38E+00 2.51E+00 2.90E+00 2.99E+00 2.94E+00 2.86E+00 2.78E+00 2.70E+00 2.61E+00 2.55E+00
 6 7  3.82E-01 6.02E-01 7.27E-01 8.11E-01 8.78E-01 9.35E-01 9.83E-01 1.03E+00 1.07E+00 1.11E+00
 6 8  7.49E-01 1.35E+00 1.60E+00 1.70E+00 1.72E+00 1.72E+00 1.73E+00 1.72E+00 1.71E+00 1.71E+00
 7 8  1.44E+00 2.68E+00 3.82E+00 4.99E+00 6.27E+00 7.56E+00 8.91E+00 1.03E+01 1.17E+01 1.31E+01
 1 9  3.27E-04 3.69E-04 4.08E-04 4.52E-04 5.02E-04 5.54E-04 6.07E-04 6.66E-04 7.30E-04 7.90E-04
 2 9  7.69E-01 5.24E-01 4.38E-01 4.02E-01 3.90E-01 3.89E-01 3.92E-01 3.97E-01 4.04E-01 4.10E-01
 3 9  9.30E-01 9.75E-01 1.11E+00 1.25E+00 1.39E+00 1.54E+00 1.67E+00 1.80E+00 1.94E+00 2.08E+00
 4 9  5.59E+00 5.82E+00 6.20E+00 6.69E+00 7.20E+00 7.69E+00 8.27E+00 8.84E+00 9.42E+00 9.98E+00
 5 9  1.32E+01 1.37E+01 1.43E+01 1.49E+01 1.55E+01 1.61E+01 1.66E+01 1.71E+01 1.77E+01 1.82E+01
 6 9  8.43E+00 8.55E+00 8.87E+00 9.23E+00 9.59E+00 9.92E+00 1.03E+01 1.07E+01 1.11E+01 1.14E+01
 7 9  6.58E+00 6.68E+00 6.91E+00 7.16E+00 7.44E+00 7.73E+00 7.98E+00 8.26E+00 8.53E+00 8.79E+00
 8 9  1.04E+01 1.05E+01 1.09E+01 1.13E+01 1.17E+01 1.22E+01 1.25E+01 1.30E+01 1.33E+01 1.37E+01
