# File extracted and modified from Anstee_newFe2_newCr2.dat (Turbospectrum)  		TM 2014-05-20
# specifically for ionized species:
#     2 lines of BE II
#     2 lines of MG II
#     5 lines of CA II
#     5 lines of SR II
#     5 lines of BA II
# 24188 lines of FE II
# 13165 lines of CR II
# New FE 2 line data 2005-02-07: BArklem P.S., Aspelund-Johansson J. 2005, A&A 435, 373 (astro-ph/0502098)
# New CR 2 line data 2008-02-26: BArklem P.S., private communication 
#pec     Wavel       Elow         Eupp            J      Sigma    Alpha Log(Gamma/N)
26 FE 2   944.068    667.683    106592.281    2.5  2.5   153.00   0.204  -7.943
26 FE 2   945.057    667.683    106481.398    2.5  1.5   163.00   0.308  -7.933
26 FE 2   945.091    667.683    106477.594    2.5  3.5   477.00   0.349  -7.475
26 FE 2   945.241   2837.950    108631.094    2.5  3.5   294.00   0.365  -7.688
26 FE 2   945.257   2837.950    108629.250    2.5  2.5   302.00   0.369  -7.677
26 FE 2   945.800    667.683    106398.297    2.5  1.5   154.00   0.220  -7.943
26 FE 2   945.808    862.613    106592.281    1.5  2.5   153.00   0.204  -7.943
26 FE 2   946.848    862.613    106476.203    1.5  0.5   154.00   0.214  -7.942
26 FE 2   947.547    862.613    106398.297    1.5  1.5   154.00   0.220  -7.943
26 FE 2   947.761   3117.461    108629.250    1.5  2.5   302.00   0.369  -7.678
26 FE 2   947.828    977.053    106481.398    0.5  1.5   163.00   0.307  -7.933
26 FE 2   947.875    977.053    106476.203    0.5  0.5   154.00   0.214  -7.942
26 FE 2   948.575    977.053    106398.297    0.5  1.5   154.00   0.220  -7.942
26 FE 2   948.699      0.000    105407.539    4.5  4.5   157.00   0.213  -7.933
26 FE 2   949.182   2837.950    108191.867    2.5  1.5   274.00   0.372  -7.720
26 FE 2   949.734   2837.950    108130.602    2.5  2.5   239.00   0.277  -7.761
26 FE 2   950.049    862.613    106120.391    1.5  0.5   160.00   0.267  -7.936
26 FE 2   951.083    977.053    106120.391    0.5  0.5   160.00   0.267  -7.936
26 FE 2   951.707   3117.461    108191.867    1.5  1.5   273.00   0.373  -7.721
26 FE 2   952.175    384.790    105407.539    3.5  4.5   157.00   0.213  -7.932
26 FE 2   954.038   1872.567    106690.172    4.5  5.5   219.00   0.253  -7.796
26 FE 2   954.046      0.000    104816.797    4.5  5.5   153.00   0.268  -7.954
26 FE 2   954.635   1872.567    106624.602    4.5  4.5   382.00   0.351  -7.572
26 FE 2   955.977   1872.567    106477.594    4.5  3.5   488.00   0.354  -7.466
26 FE 2   956.240   2430.097    107006.352    3.5  4.5   212.00   0.269  -7.813
26 FE 2   956.453    384.790    104937.797    3.5  4.5   237.00   0.294  -7.768
26 FE 2   958.432   3117.461    107454.500    1.5  0.5   305.00   0.425  -7.683
26 FE 2   961.100   2430.097    106477.594    3.5  3.5   487.00   0.355  -7.468
26 FE 2   965.621   2837.950    106398.297    2.5  1.5   175.00   0.167  -7.878
26 FE 2   965.857   1872.567    105407.539    4.5  4.5   179.00   0.177  -7.870
26 FE 2   967.504   3117.461    106476.203    1.5  0.5   175.00   0.187  -7.881
26 FE 2   968.234   3117.461    106398.297    1.5  1.5   175.00   0.169  -7.878
26 FE 2   970.846   3117.461    106120.391    1.5  0.5   205.00   0.249  -7.823
26 FE 2   971.086   2430.097    105407.539    3.5  4.5   179.00   0.178  -7.869
26 FE 2   971.400   1872.567    104816.797    4.5  5.5   173.00   0.182  -7.885
26 FE 2   975.457    667.683    103183.703    2.5  3.5   155.00   0.247  -7.944
26 FE 2   975.536   2430.097    104937.797    3.5  4.5   234.00   0.266  -7.769
26 FE 2   978.563   2837.950    105028.602    2.5  3.5   176.00   0.170  -7.876
26 FE 2   979.774    384.790    102449.102    3.5  2.5   161.00   0.337  -7.944
26 FE 2   984.383    862.613    102449.102    1.5  2.5   161.00   0.334  -7.944
26 FE 2   986.314   3117.461    104505.102    1.5  1.5   184.00   0.221  -7.866
26 FE 2   986.955    384.790    101706.508    3.5  2.5   160.00   0.230  -7.928
26 FE 2   987.058   1872.567    103183.703    4.5  3.5   200.00   0.241  -7.832
26 FE 2   989.044   1872.567    102980.297    4.5  5.5   225.00   0.288  -7.791
26 FE 2   989.719    667.683    101706.508    2.5  2.5   160.00   0.229  -7.928
26 FE 2   990.946   7955.299    108868.977    3.5  4.5   335.00   0.310  -7.622
26 FE 2   991.019    667.683    101573.898    2.5  1.5   160.00   0.233  -7.929
26 FE 2   991.632    862.613    101706.508    1.5  2.5   160.00   0.229  -7.928
26 FE 2   992.520   2430.097    103183.703    3.5  3.5   199.00   0.250  -7.836
26 FE 2   993.287   7955.299    108631.094    3.5  3.5   312.00   0.312  -7.652
26 FE 2   993.306   7955.299    108629.250    3.5  2.5   317.00   0.306  -7.645
26 FE 2   993.880   7955.299    108571.039    3.5  4.5   320.00   0.308  -7.641
26 FE 2   994.067    977.053    101573.898    0.5  1.5   160.00   0.233  -7.928
26 FE 2   994.631    862.613    101402.383    1.5  0.5   161.00   0.241  -7.928
26 FE 2   995.063   2837.950    103334.102    2.5  2.5   199.00   0.254  -7.837
26 FE 2   995.765    977.053    101402.383    0.5  0.5   161.00   0.241  -7.928
26 FE 2   996.554   2837.950    103183.703    2.5  3.5   200.00   0.252  -7.834
26 FE 2   997.614   8391.938    108631.094    2.5  3.5   312.00   0.312  -7.652
26 FE 2   997.632   8391.938    108629.250    2.5  2.5   317.00   0.306  -7.645
26 FE 2   997.838   3117.461    103334.102    1.5  2.5   199.00   0.252  -7.837
26 FE 2   998.250   7955.299    108130.602    3.5  2.5   241.00   0.333  -7.769
26 FE 2   999.887   7955.299    107966.617    3.5  4.5   303.00   0.315  -7.666
26 FE 2  1000.512   8680.454    108629.250    1.5  2.5   317.00   0.306  -7.645
26 FE 2  1002.005   8391.938    108191.867    2.5  1.5   291.00   0.321  -7.685
26 FE 2  1002.435      0.000     99757.117    4.5  4.5   258.00   0.327  -7.738
26 FE 2  1002.620   8391.938    108130.602    2.5  2.5   241.00   0.334  -7.769
26 FE 2  1003.480      0.000     99653.219    4.5  4.5   178.00   0.451  -7.920
26 FE 2  1004.910   8680.454    108191.867    1.5  1.5   291.00   0.321  -7.685
26 FE 2  1005.529   8680.454    108130.602    1.5  2.5   241.00   0.335  -7.770
26 FE 2  1006.174   3117.461    102503.812    1.5  1.5   199.00   0.251  -7.837
26 FE 2  1006.592   8846.768    108191.867    0.5  1.5   291.00   0.321  -7.685
26 FE 2  1012.412   8680.454    107454.500    1.5  0.5   320.00   0.321  -7.644
