 1 2 9.82E-06 8.81E-06 1.10E-05 1.55E-05 2.24E-05 3.25E-05 4.67E-05 6.59E-05 9.20E-05 1.26E-04
 1 3 2.26E-06 3.17E-06 4.59E-06 6.84E-06 1.02E-05 1.50E-05 2.13E-05 2.90E-05 3.89E-05 5.06E-05
 1 4 1.37E-05 1.77E-05 2.31E-05 3.18E-05 4.48E-05 6.21E-05 8.35E-05 1.09E-04 1.38E-04 1.71E-04
 1 5 9.81E-06 1.53E-05 2.96E-05 5.37E-05 8.57E-05 1.24E-04 1.65E-04 2.09E-04 2.54E-04 3.02E-04
 1 6 2.71E-05 7.13E-05 1.12E-04 1.50E-04 1.86E-04 2.25E-04 2.64E-04 3.06E-04 3.53E-04 4.02E-04
 1 7 3.22E-05 5.26E-05 8.84E-05 1.34E-04 1.83E-04 2.33E-04 2.87E-04 3.45E-04 4.08E-04 4.78E-04
 1 8 8.01E-05 1.20E-04 1.79E-04 2.47E-04 3.18E-04 3.91E-04 4.62E-04 5.39E-04 6.24E-04 7.19E-04
 2 3 4.09E-02 4.80E-02 5.53E-02 6.26E-02 6.88E-02 7.49E-02 8.09E-02 8.66E-02 9.31E-02 9.95E-02
 2 4 1.03E-01 1.24E-01 1.39E-01 1.50E-01 1.60E-01 1.71E-01 1.81E-01 1.91E-01 2.01E-01 2.10E-01
 2 5 8.49E-02 8.82E-02 9.52E-02 1.01E-01 1.08E-01 1.12E-01 1.17E-01 1.21E-01 1.24E-01 1.28E-01
 2 6 6.74E-02 6.27E-02 5.92E-02 5.73E-02 5.72E-02 5.83E-02 6.02E-02 6.22E-02 6.45E-02 6.70E-02
 2 7 3.83E-02 4.08E-02 4.06E-02 3.99E-02 4.01E-02 4.05E-02 4.11E-02 4.12E-02 4.23E-02 4.28E-02
 2 8 1.23E-01 1.45E-01 1.40E-01 1.30E-01 1.22E-01 1.14E-01 1.08E-01 1.03E-01 9.89E-02 9.53E-02
 3 4 4.43E-01 5.34E-01 6.21E-01 7.08E-01 8.03E-01 9.01E-01 1.01E+00 1.12E+00 1.24E+00 1.36E+00
 3 5 2.15E-01 2.31E-01 2.39E-01 2.47E-01 2.59E-01 2.74E-01 2.90E-01 3.10E-01 3.31E-01 3.54E-01
 3 6 9.58E-01 1.20E+00 1.30E+00 1.35E+00 1.39E+00 1.43E+00 1.47E+00 1.51E+00 1.55E+00 1.59E+00
 3 7 1.05E-01 1.91E-01 2.59E-01 3.17E-01 3.63E-01 4.05E-01 4.45E-01 4.76E-01 5.09E-01 5.36E-01
 3 8 2.38E-01 3.43E-01 3.84E-01 4.06E-01 4.20E-01 4.35E-01 4.51E-01 4.67E-01 4.87E-01 5.10E-01
 4 5 2.87E-01 4.82E-01 6.34E-01 7.60E-01 8.81E-01 1.00E+00 1.12E+00 1.23E+00 1.36E+00 1.48E+00
 4 6 3.64E-01 4.37E-01 4.61E-01 4.85E-01 5.14E-01 5.46E-01 5.84E-01 6.26E-01 6.69E-01 7.15E-01
 4 7 2.26E-01 2.82E-01 3.06E-01 3.19E-01 3.35E-01 3.53E-01 3.73E-01 3.93E-01 4.12E-01 4.34E-01
 4 8 5.53E-01 8.73E-01 9.67E-01 9.75E-01 9.53E-01 9.23E-01 9.04E-01 8.79E-01 8.62E-01 8.49E-01
 5 6 1.19E+00 1.63E+00 1.74E+00 1.77E+00 1.79E+00 1.82E+00 1.85E+00 1.89E+00 1.94E+00 1.99E+00
 5 7 5.84E-01 8.73E-01 9.79E-01 1.02E+00 1.05E+00 1.08E+00 1.10E+00 1.14E+00 1.16E+00 1.18E+00
 5 8 1.36E+00 2.41E+00 2.75E+00 2.81E+00 2.75E+00 2.68E+00 2.60E+00 2.51E+00 2.44E+00 2.38E+00
 6 7 5.44E-01 9.65E-01 1.26E+00 1.48E+00 1.67E+00 1.84E+00 2.00E+00 2.15E+00 2.28E+00 2.42E+00
 6 8 9.94E-01 1.64E+00 1.93E+00 2.07E+00 2.15E+00 2.22E+00 2.29E+00 2.34E+00 2.41E+00 2.48E+00
 7 8 1.68E+00 3.11E+00 4.32E+00 5.61E+00 6.90E+00 8.31E+00 9.72E+00 1.13E+01 1.27E+01 1.42E+01
 1 9 2.86E-02 3.98E-03 1.97E-03 1.41E-03 1.18E-03 1.07E-03 1.03E-03 1.03E-03 1.03E-03 1.06E-03
 2 9 1.55E+01 2.38E+00 1.23E+00 8.76E-01 7.20E-01 6.39E-01 5.94E-01 5.64E-01 5.46E-01 5.36E-01
 3 9 3.27E+01 5.49E+00 3.16E+00 2.53E+00 2.32E+00 2.25E+00 2.25E+00 2.30E+00 2.37E+00 2.45E+00
 4 9 1.23E+02 2.40E+01 1.47E+01 1.21E+01 1.11E+01 1.08E+01 1.08E+01 1.10E+01 1.13E+01 1.16E+01
 5 9 2.23E+02 5.06E+01 3.24E+01 2.66E+01 2.41E+01 2.28E+01 2.22E+01 2.19E+01 2.18E+01 2.19E+01
 6 9 1.27E+02 3.04E+01 1.97E+01 1.63E+01 1.48E+01 1.40E+01 1.37E+01 1.35E+01 1.35E+01 1.36E+01
 7 9 9.49E+01 2.31E+01 1.51E+01 1.25E+01 1.14E+01 1.08E+01 1.06E+01 1.05E+01 1.04E+01 1.05E+01
 8 9 1.37E+02 3.51E+01 2.33E+01 1.94E+01 1.77E+01 1.69E+01 1.65E+01 1.63E+01 1.62E+01 1.62E+01
