 #lambda[Å] A_ki[s⁻¹] loggf  Acc  Ei[cm⁻¹]   Ek[cm⁻¹]  cfg_i    term_i cfg_k     term_k gi  gk rtype     ref1       ref2
  3631.787  2.97e+07  -0.532  C+ 15210.063  42744.716  3p6.4s.4p  3P*  3p6.4s.5d  3D     3  5  None  T539n,T654n,LS L6097
  3632.013  1.53e+07  -1.042  C+ 15210.063  42743.002  3p6.4s.4p  3P*  3p6.4s.5d  3D     3  3  None  T539n,T654n,LS L6097
  3645.452  3.55e+07  -0.305  C+ 15315.943  42747.387  3p6.4s.4p  3P*  3p6.4s.5d  3D     5  7  None  T539n,T654n,LS L6097
  3645.807  9.4e+06   -1.03   C+ 15315.943  42744.716  3p6.4s.4p  3P*  3p6.4s.5d  3D     5  5  None  T539n,T654n,LS L6097
  3646.035  9.5e+05   -2.25   C+ 15315.943  42743.002  3p6.4s.4p  3P*  3p6.4s.5d  3D     5  3  None  T539n,T654n,LS L6097
  3674.464  2.2e+06   -1.65   D  20335.360  47550.214  3p6.3d.4s  3D   3p6.4s.8f  3F*    3  5  None           T539n None 
  3676.334  2.2e+06   -1.51   D  20349.260  47550.271  3p6.3d.4s  3D   3p6.4s.8f  3F*    5  7  None        T539n,LS L6097
  3676.342  3.8e+05   -2.41   D  20349.260  47550.214  3p6.3d.4s  3D   3p6.4s.8f  3F*    5  5  None        T539n,LS None 
  3679.261  2.3e+06   -1.38   D  20371.000  47550.371  3p6.3d.4s  3D   3p6.4s.8f  3F*    7  9  None        T539n,LS L6097
  3679.274  2.6e+05   -2.43   D  20371.000  47550.271  3p6.3d.4s  3D   3p6.4s.8f  3F*    7  7  None        T539n,LS None 
  3679.282  1.0e+04   -3.99   E  20371.000  47550.214  3p6.3d.4s  3D   3p6.4s.8f  3F*    7  5  None            T654 None 
  3749.414  3.4e+06   -1.45   D  20335.360  47006.194  3p6.3d.4s  3D   3p6.4s.7f  3F*    3  5  None        T539n,LS L6097
  3751.357  3.4e+06   -1.30   D  20349.260  47006.280  3p6.3d.4s  3D   3p6.4s.7f  3F*    5  7  None        T539n,LS L6097
  3751.369  6.2e+05   -2.18   D  20349.260  47006.194  3p6.3d.4s  3D   3p6.4s.7f  3F*    5  5  None        T539n,LS None 
  3754.402  4.1e+06   -1.11   D  20371.000  47006.400  3p6.3d.4s  3D   3p6.4s.7f  3F*    7  9  None        T539n,LS L6097
  3754.419  4.4e+05   -2.19   D  20371.000  47006.280  3p6.3d.4s  3D   3p6.4s.7f  3F*    7  7  None        T539n,LS None 
  3754.431  1.7e+04   -3.75   E  20371.000  47006.194  3p6.3d.4s  3D   3p6.4s.7f  3F*    7  5  None            T654 None 
  3871.574  7.2e+06   -1.09   D  20335.360  46164.644  3p6.3d.4s  3D   3p6.4s.6f  3F*    3  5  None           T539n L6097
  3873.638  5.4e+06   -1.07   D  20349.260  46164.785  3p6.3d.4s  3D   3p6.4s.6f  3F*    5  7  None        T539n,LS L6097
  3873.659  9.8e+05   -1.96   D  20349.260  46164.644  3p6.3d.4s  3D   3p6.4s.6f  3F*    5  5  None        T539n,LS L6097
  3876.875  7.9e+06   -0.80   D  20371.000  46164.971  3p6.3d.4s  3D   3p6.4s.6f  3F*    7  9  None        T539n,LS L6097
  3876.903  8.9e+05   -1.85   D  20371.000  46164.785  3p6.3d.4s  3D   3p6.4s.6f  3F*    7  7  None        T539n,LS L6097
  3876.925  3.5e+04   -3.40   E  20371.000  46164.644  3p6.3d.4s  3D   3p6.4s.6f  3F*    7  5  None            T654 None 
  3950.018  3.34e+06  -1.630  C  15157.901  40474.241  3p6.4s.4p  3P*  3p6.4s.6s  3S     1  3  None     T539n,T654n L6097
  3958.174  9.8e+06   -1.16   C  15210.063  40474.241  3p6.4s.4p  3P*  3p6.4s.6s  3S     3  3  None     T539n,T654n L6097
  3974.832  1.75e+07  -0.905  C  15315.943  40474.241  3p6.4s.4p  3P*  3p6.4s.6s  3S     5  3  None     T539n,T654n L6097
  4093.787  1.1e+07   -0.86   D  20335.360  44762.620  3p6.3d.4s  3D   3p6.4s.5f  3F*    3  5  None           T539n None 
  4096.081  1.2e+07   -0.68   D  20349.260  44762.839  3p6.3d.4s  3D   3p6.4s.5f  3F*    5  7  None           T539n None 
  4096.118  2.1e+06   -1.58   D  20349.260  44762.620  3p6.3d.4s  3D   3p6.4s.5f  3F*    5  5  None        T539n,LS None 
  4099.685  1.3e+07   -0.53   D  20371.000  44763.118  3p6.3d.4s  3D   3p6.4s.5f  3F*    7  9  None           T539n L6097
  4099.732  1.5e+06   -1.58   D  20371.000  44762.839  3p6.3d.4s  3D   3p6.4s.5f  3F*    7  7  None        T539n,LS L6097
  4099.769  5.8e+04   -3.14   E  20371.000  44762.620  3p6.3d.4s  3D   3p6.4s.5f  3F*    7  5  None            T654 None 
  4109.685  9.0e+07    0.20   D  21849.634  46182.399  3p6.3d.4s  1D   3p6.4s.6f  1F*    5  7  None           T539n None 
  4227.918  2.18e+08   0.244  B+     0.000  23652.304  3p6.4s2    1S   3p6.4s.4p  1P*    1  3  None T876,T1110,T859 L6097
  4284.216  4.34e+07  -0.224  C+ 15210.063  38551.558  3p6.4s.4p  3P*  3p6.4p2    3P     3  5  None  T539n,T654n,LS L6097
  4290.574  6.0e+07   -0.30   C+ 15157.901  38464.808  3p6.4s.4p  3P*  3p6.4p2    3P     1  3  None  T539n,T654n,LS L6097
  4300.197  4.66e+07  -0.412  C+ 15210.063  38464.808  3p6.4s.4p  3P*  3p6.4p2    3P     3  3  None  T539n,T654n,LS L6097
  4303.738  1.36e+08   0.276  C+ 15315.943  38551.558  3p6.4s.4p  3P*  3p6.4p2    3P     5  5  None  T539n,T654n,LS L6097
  4308.956  1.99e+08  -0.257  C+ 15210.063  38417.543  3p6.4s.4p  3P*  3p6.4p2    3P     3  1  None  T539n,T654n,LS L6097
  4319.867  7.4e+07   -0.21   C+ 15315.943  38464.808  3p6.4s.4p  3P*  3p6.4p2    3P     5  3  None  T539n,T654n,LS L6097
  4356.303  1.9e+07   -0.42   D  21849.634  44804.878  3p6.3d.4s  1D   3p6.4s.5f  1F*    5  7  None           T539n L6097
  4426.680  4.98e+07  -0.358  C  15157.901  37748.197  3p6.4s.4p  3P*  3p6.4s.4d  3D     1  3  None           T8043 L6097
  4436.202  6.7e+07   -0.01   C  15210.063  37751.867  3p6.4s.4p  3P*  3p6.4s.4d  3D     3  5  None           T8043 L6097
  4436.924  3.42e+07  -0.519  C  15210.063  37748.197  3p6.4s.4p  3P*  3p6.4s.4d  3D     3  3  None           T8043 L6097
  4456.029  8.7e+07    0.26   C  15315.943  37757.449  3p6.4s.4p  3P*  3p6.4s.4d  3D     5  7  None           T8043 L6097
  4457.138  2.0e+07   -0.53   C  15315.943  37751.867  3p6.4s.4p  3P*  3p6.4s.4d  3D     5  5  None           T8043 L6097
  4457.867  2.45e+06  -1.660  C+ 15315.943  37748.197  3p6.4s.4p  3P*  3p6.4s.4d  3D     5  3  None  T539n,T654n,LS L6097
  4528.197  4.1e+07   -0.42   D  21849.634  43933.477  3p6.3d.4s  1D   3p6.4s.np  w1P*   5  3  None           T539n L6097
  4579.834  1.76e+07  -0.558  C  20335.360  42170.214  3p6.3d.4s  3D   3p6.4s.4f  3F*    3  5  None        T539n,LS L6097
  4582.679  2.09e+07  -0.337  C  20349.260  42170.558  3p6.3d.4s  3D   3p6.4s.4f  3F*    5  7  None        T539n,LS L6097
  4582.751  3.5e+06   -1.26   D  20349.260  42170.214  3p6.3d.4s  3D   3p6.4s.4f  3F*    5  5  None   T539n,T866,LS L6097
  4587.150  2.29e+07  -0.187  C  20371.000  42171.026  3p6.3d.4s  3D   3p6.4s.4f  3F*    7  9  None        T539n,LS L6097
  4587.249  2.5e+06   -1.26   D  20371.000  42170.558  3p6.3d.4s  3D   3p6.4s.4f  3F*    7  7  None   T539n,T866,LS L6097
  4587.321  9.8e+04   -2.81   E  20371.000  42170.214  3p6.3d.4s  3D   3p6.4s.4f  3F*    7  5  None            T654 None 
  4686.579  8.0e+06   -0.88   D  23652.304  44989.830  3p6.4s.4p  1P*  3p6.4s.6d  1D     3  5  None            T866 L6097
  4879.488  1.88e+07  -0.328  C  21849.634  42343.587  3p6.3d.4s  1D   3p6.4s.4f  1F*    5  7  None           T1338 L6097
  5043.024  3.3e+07   -0.42   D  21849.634  41679.008  3p6.3d.4s  1D   3p6.4s.6p  1P*    5  3  None            T866 L6097
  5190.289  4.0e+07   -0.09   D  23652.304  42919.053  3p6.4s.4p  1P*  3p6.4s.5d  1D     3  5  None            T866 L6097
  5261.851  6.1e+05   -1.90   E  20335.360  39340.080  3p6.3d.4s  3D   3p6.3d.4p  3P*    3  5  None          T866LS None 
  5263.168  1.5e+07   -0.73   D  20335.360  39335.322  3p6.3d.4s  3D   3p6.3d.4p  3P*    3  3  None          T866LS L6097
  5263.706  6.0e+07   -0.60   D  20335.360  39333.382  3p6.3d.4s  3D   3p6.3d.4p  3P*    3  1  None          T866LS L6097
  5265.702  9.1e+06   -0.72   D  20349.260  39340.080  3p6.3d.4s  3D   3p6.3d.4p  3P*    5  5  None          T866LS L6097
  5267.021  4.4e+07   -0.26   D  20349.260  39335.322  3p6.3d.4s  3D   3p6.3d.4p  3P*    5  3  None          T866LS L6097
  5271.737  5.0e+07    0.02   D  20371.000  39340.080  3p6.3d.4s  3D   3p6.3d.4p  3P*    7  5  None          T866LS L6097
  5514.511  1.1e+08   -0.30   E  23652.304  41786.276  3p6.4s.4p  1P*  3p6.4p2    1S     3  1  None           T539n L6097
  5583.515  6.0e+06   -0.71   D  20349.260  38259.124  3p6.3d.4s  3D   3p6.3d.4p  3D*    5  7  None          T866LS L6097
  5590.301  4.9e+07    0.21   D  20371.000  38259.124  3p6.3d.4s  3D   3p6.3d.4p  3D*    7  7  None          T866LS L6097
  5591.666  8.3e+06   -0.71   D  20335.360  38219.118  3p6.3d.4s  3D   3p6.3d.4p  3D*    3  5  None          T866LS L6097
  5596.015  3.8e+07   -0.05   D  20349.260  38219.118  3p6.3d.4s  3D   3p6.3d.4p  3D*    5  5  None          T866LS L6097
  5600.034  4.3e+07   -0.22   D  20335.360  38192.392  3p6.3d.4s  3D   3p6.3d.4p  3D*    3  3  None          T866LS L6097
  5602.832  8.6e+06   -0.69   D  20371.000  38219.118  3p6.3d.4s  3D   3p6.3d.4p  3D*    7  5  None          T866LS L6097
  5604.397  1.4e+07   -0.70   D  20349.260  38192.392  3p6.3d.4s  3D   3p6.3d.4p  3D*    5  3  None          T866LS L6097
  5859.075  6.6e+07    0.23   D  23652.304  40719.847  3p6.4s.4p  1P*  3p6.4p2    1D     3  5  None            T866 L6097
  6104.412  9.6e+06   -0.79   C  15157.901  31539.495  3p6.4s.4p  3P*  3p6.4s.5s  3S     1  3  None           T8043 L6097
  6123.912  2.87e+07  -0.315  C  15210.063  31539.495  3p6.4s.4p  3P*  3p6.4s.5s  3S     3  3  None           T8043 L6097
  6157.727  2.3e+05   -2.18   E  20335.360  36575.119  3p6.3d.4s  3D   3p6.4s.5p  3P*    3  5  None          T866LS None 
  6163.002  3.3e+06   -1.03   D  20349.260  36575.119  3p6.3d.4s  3D   3p6.4s.5p  3P*    5  5  None          T866LS L6097
  6163.878  4.77e+07  -0.089  C  15315.943  31539.495  3p6.4s.4p  3P*  3p6.4s.5s  3S     5  3  None           T8043 L6097
  6165.461  5.6e+06   -1.02   D  20335.360  36554.749  3p6.3d.4s  3D   3p6.4s.5p  3P*    3  3  None          T866LS L6097
  6168.145  2.2e+07   -0.90   D  20335.360  36547.688  3p6.3d.4s  3D   3p6.4s.5p  3P*    3  1  None          T866LS L6097
  6170.749  1.7e+07   -0.54   D  20349.260  36554.749  3p6.3d.4s  3D   3p6.4s.5p  3P*    5  3  None          T866LS L6097
  6171.270  1.9e+07   -0.27   D  20371.000  36575.119  3p6.3d.4s  3D   3p6.4s.5p  3P*    7  5  None          T866LS L6097
  6440.855  5.3e+07    0.47   D  20371.000  35896.889  3p6.3d.4s  3D   3p6.3d.4p  3F*    7  9  None          T866LS L6097
  6451.591  9.0e+06   -0.55   D  20335.360  35835.413  3p6.3d.4s  3D   3p6.3d.4p  1D*    3  5  None            T866 L6097
  6457.382  1.4e+06   -1.36   E  20349.260  35835.413  3p6.3d.4s  3D   3p6.3d.4p  1D*    5  5  None           T539n L6097
  6464.353  4.7e+07    0.31   D  20349.260  35818.713  3p6.3d.4s  3D   3p6.3d.4p  3F*    5  7  None          T866LS L6097
  6473.450  5.9e+06   -0.59   D  20371.000  35818.713  3p6.3d.4s  3D   3p6.3d.4p  3F*    7  7  None          T866LS L6097
  6495.575  4.4e+07    0.14   D  20335.360  35730.454  3p6.3d.4s  3D   3p6.3d.4p  3F*    3  5  None          T866LS L6097
  6501.446  8.1e+06   -0.59   D  20349.260  35730.454  3p6.3d.4s  3D   3p6.3d.4p  3F*    5  5  None          T866LS L6097
  6510.648  2.4e+05   -2.12   E  20371.000  35730.454  3p6.3d.4s  3D   3p6.3d.4p  3F*    7  5  None          T866LS None 
  6574.595  2.6e+03   -4.30   D+     0.000  15210.063  3p6.4s2    1S   3p6.4s.4p  3P*    1  3  None             T67 L6097
  6719.536  1.2e+07   -0.61   E  21849.634  36731.615  3p6.3d.4s  1D   3p6.4s.5p  1P*    5  3  None           T539n L6097
