#Linelist test between 0 and 10e6 A for FeI (KALD)  -llc- TM (2013-6-11)
      0.000    9       s2 a5D  54004.781    7    (3D)sp 5P   2.222E-02    1851.0609
      0.000    9       s2 a5D  53983.285   11   (3G)sp t3G   1.196E-05    1851.7980
    415.932    7       s2 a5D  54357.398    7    (4F)5p 3G   6.024E-04    1853.2339
    415.932    7       s2 a5D  54342.762    5    (4F)5p 3D   1.958E-05    1853.7379
    704.004    5       s2 a5D  54600.348    7   (3G)sp t3G   2.780E-07    1854.7861
      0.000    9       s2 a5D  53891.520    7    (3D)sp 5D   2.876E-04    1854.9530
    415.932    7       s2 a5D  54301.336    9    (3D)sp 5D   1.419E-05    1855.1630
      0.000    9       s2 a5D  53852.109    7    (4F)5p 5G   1.373E-04    1856.3110
      0.000    9       s2 a5D  53837.848    7    (4F)5p 3D   1.922E-04    1856.8020
   6928.266   11   (4F)4s a5F  60757.680    9   (3H)sp t3H   5.938E-04    1857.0930
   6928.266   11   (4F)4s a5F  60754.711    9    (3F)sp 3F   1.006E-03    1857.1960
    415.932    7       s2 a5D  54237.414    9   (3G)sp t3G   2.133E-08    1857.3669
      0.000    9       s2 a5D  53763.273    7   (3G)sp x3F   4.128E-04    1859.3789
      0.000    9       s2 a5D  53733.582    7    (4F)5p 5D   3.153E-03    1860.4060
      0.000    9       s2 a5D  53722.398   11   (3G)sp y1H   9.501E-05    1860.7930
    415.932    7       s2 a5D  54112.219    5    (3D)sp 5P   1.892E-02    1861.6980
      0.000    9       s2 a5D  53661.090    7    (3D)sp 5F   8.685E-05    1862.9200
    704.004    5       s2 a5D  54357.398    7    (4F)5p 3G   9.142E-06    1863.1870
    704.004    5       s2 a5D  54342.762    5    (4F)5p 3D   5.094E-03    1863.6960
    415.932    7       s2 a5D  54042.516    5    (4F)5p 5D   1.782E-03    1864.1189
   6928.266   11   (4F)4s a5F  60549.180   11   (3H)sp t3H   7.322E-05    1864.3159
      0.000    9       s2 a5D  53610.414    9    (4F)5p 5G   2.162E-05    1864.6809
    415.932    7       s2 a5D  54017.574    9    (4F)5p 3G   1.435E-04    1864.9871
    415.932    7       s2 a5D  54004.781    7    (3D)sp 5P   9.906E-03    1865.4320
      0.000    9       s2 a5D  53586.500   11    (4F)5p 5G   2.690E-04    1865.5140
    704.004    5       s2 a5D  54271.059    3    (3D)sp 5P   6.871E-03    1866.1909
    704.004    5       s2 a5D  54224.402    3    (4F)5p 5D   6.967E-03    1867.8180
    415.932    7       s2 a5D  53891.520    7    (3D)sp 5D   3.243E-03    1869.3829
    888.129    3       s2 a5D  54342.762    5    (4F)5p 3D   4.206E-03    1870.1160
   6928.266   11   (4F)4s a5F  60365.699   13   (3H)sp t3H   2.059E-07    1870.7179
    415.932    7       s2 a5D  53852.109    7    (4F)5p 5G   5.969E-04    1870.7620
   7376.760    9   (4F)4s a5F  60806.652    7    (3F)sp 3F   4.186E-04    1870.9821
    415.932    7       s2 a5D  53837.848    7    (4F)5p 3D   1.482E-03    1871.2621
    704.004    5       s2 a5D  54112.219    5    (3D)sp 5P   1.422E-02    1871.7419
    888.129    3       s2 a5D  54271.059    3    (3D)sp 5P   2.301E-02    1872.6289
   7376.760    9   (4F)4s a5F  60757.680    9   (3H)sp t3H   1.438E-03    1872.7001
   7376.760    9   (4F)4s a5F  60754.711    9    (3F)sp 3F   9.370E-05    1872.8040
      0.000    9       s2 a5D  53357.508    7    (4F)5p 5F   3.294E-05    1873.5210
    415.932    7       s2 a5D  53763.273    7   (3G)sp x3F   2.065E-04    1873.8789
    704.004    5       s2 a5D  54042.516    5    (4F)5p 5D   2.328E-03    1874.1890
    888.129    3       s2 a5D  54224.402    3    (4F)5p 5D   1.276E-04    1874.2681
    415.932    7       s2 a5D  53749.406    5    (4F)5p 5F   1.196E-04    1874.3660
      0.000    9       s2 a5D  53328.828    9    (4F)5p 5D   8.745E-03    1874.5289
    415.932    7       s2 a5D  53733.582    7    (4F)5p 5D   1.282E-03    1874.9220
    704.004    5       s2 a5D  54004.781    7    (3D)sp 5P   2.350E-03    1875.5161
    978.072    1       s2 a5D  54271.059    3    (3D)sp 5P   3.573E-02    1875.7910
    978.072    1       s2 a5D  54224.402    3    (4F)5p 5D   4.355E-03    1877.4351
    415.932    7       s2 a5D  53661.090    7    (3D)sp 5F   3.672E-04    1877.4761
   6928.266   11   (4F)4s a5F  60172.059    9   (3F)sp r3G   2.206E-05    1877.5239
    888.129    3       s2 a5D  54112.219    5    (3D)sp 5P   6.066E-03    1878.2190
    415.932    7       s2 a5D  53610.414    9    (4F)5p 5G   1.534E-04    1879.2640
    704.004    5       s2 a5D  53891.520    7    (3D)sp 5D   6.124E-04    1879.5100
   7376.760    9   (4F)4s a5F  60549.180   11   (3H)sp t3H   7.108E-05    1880.0439
    888.129    3       s2 a5D  54042.516    5    (4F)5p 5D   1.071E-03    1880.6821
    704.004    5       s2 a5D  53852.109    7    (4F)5p 5G   7.692E-04    1880.9050
    704.004    5       s2 a5D  53837.848    7    (4F)5p 3D   6.715E-05    1881.4100
    704.004    5       s2 a5D  53808.352    3    (3D)sp 5D   5.902E-06    1882.4550
      0.000    9       s2 a5D  53084.789   11    (4F)5p 5F   5.269E-03    1883.1489
   7728.056    7   (4F)4s a5F  60806.652    7    (3F)sp 3F   1.721E-04    1883.3690
    704.004    5       s2 a5D  53763.273    7   (3G)sp x3F   5.534E-03    1884.0551
    704.004    5       s2 a5D  53749.406    5    (4F)5p 5F   3.206E-04    1884.5481
   7728.056    7   (4F)4s a5F  60757.680    9   (3H)sp t3H   1.086E-04    1885.1080
    704.004    5       s2 a5D  53733.582    7    (4F)5p 5D   5.848E-05    1885.1100
   7728.056    7   (4F)4s a5F  60754.711    9    (3F)sp 3F   9.438E-06    1885.2139
   6928.266   11   (4F)4s a5F  59926.621   11   (3F)sp r3G   4.652E-05    1886.2200
   7376.760    9   (4F)4s a5F  60364.762    7   (3F)sp r3G   6.543E-05    1886.5891
    704.004    5       s2 a5D  53661.090    7    (3D)sp 5F   5.346E-04    1887.6899
      0.000    9       s2 a5D  52953.625    9    (4F)5p 5F   3.197E-03    1887.8140
    415.932    7       s2 a5D  53357.508    7    (4F)5p 5F   4.187E-07    1888.2440
    888.129    3       s2 a5D  53808.352    3    (3D)sp 5D   3.547E-04    1889.0061
    415.932    7       s2 a5D  53328.828    9    (4F)5p 5D   6.500E-05    1889.2670
      0.000    9       s2 a5D  52898.973   11   (2H)4p y3I   1.282E-06    1889.7650
    888.129    3       s2 a5D  53749.406    5    (4F)5p 5F   4.455E-03    1891.1130
    415.932    7       s2 a5D  53275.230    5    (3D)sp 5F   4.874E-05    1891.1840
    978.072    1       s2 a5D  53808.352    3    (3D)sp 5D   1.897E-03    1892.2230
   7985.780    5   (4F)4s a5F  60806.652    7    (3F)sp 3F   6.547E-05    1892.5599
   7376.760    9   (4F)4s a5F  60172.059    9   (3F)sp r3G   4.025E-07    1893.4760
      0.000    9       s2 a5D  52768.723    9   (2H)4p w3H   2.516E-07    1894.4299
    704.004    5       s2 a5D  53357.508    7    (4F)5p 5F   2.495E-03    1898.5769
   7728.056    7   (4F)4s a5F  60364.762    7   (3F)sp r3G   2.523E-06    1899.1831
      0.000    9       s2 a5D  52613.086   11   (2H)4p w3H   2.593E-08    1900.0360
    704.004    5       s2 a5D  53275.230    5    (3D)sp 5F   2.296E-04    1901.5480
   7376.760    9   (4F)4s a5F  59926.621   11   (3F)sp r3G   1.367E-05    1902.3219
    415.932    7       s2 a5D  52953.625    9    (4F)5p 5F   7.062E-03    1902.7620
