 #lambda[Å]  A_ki[s⁻¹]   loggf Acc    Ei[cm⁻¹]  Ek[cm⁻¹]    cfg_i term_i  cfg_k           term_k gi gk rtype     ref1           ref2
  1284.454       None    None  None      0.000   77853.5    3s2.3p  2P*   3s.3p.(3P*).5p    None  2  4  None     None           L3597
  1286.325       None    None  None    112.061   77853.5    3s2.3p  2P*   3s.3p.(3P*).5p    None  4  4  None     None           L3597
  1286.789       None    None  None      0.000   77712.7    3s2.3p  2P*   3s.3p.(3P*).5p    2P    2  4  None     None           L3597
  1287.532       None    None  None      0.000   77667.9    3s2.3p  2P*   3s.3p.(3P*).5p    None  2  2  None     None           L3597
  1287.946       None    None  None      0.000   77642.9    3s2.3p  2P*   3s.3p.(3P*).5p    None  2  4  None     None           L3597
  1288.210       None    None  None      0.000   77627.0    3s2.3p  2P*   3s.3p.(3P*).5p    None  2  2  None     None           L3597
  1288.650       None    None  None    112.061   77712.7    3s2.3p  2P*   3s.3p.(3P*).5p    2P    4  4  None     None           L3597
  1289.393       None    None  None    112.061   77667.9    3s2.3p  2P*   3s.3p.(3P*).5p    None  4  2  None     None           L3597
  1289.812       None    None  None    112.061   77642.9    3s2.3p  2P*   3s.3p.(3P*).5p    None  4  4  None     None           L3597
  1290.076       None    None  None    112.061   77627.0    3s2.3p  2P*   3s.3p.(3P*).5p    None  4  2  None     None           L3597
  1368.908       None    None  None      0.000   73051.0    3s2.3p  2P*   3s.3p.(3P*).4p    2S    2  2  None     None           L3597
  1371.010       None    None  None    112.061   73051.0    3s2.3p  2P*   3s.3p.(3P*).4p    2S    4  2  None     None           L3597
  1397.80        None    None  None    112.061   71653      3s2.3p  2P*   3s.3p.(3P*).4p    2D    4  6  None     None           L3597
  1413.156       None    None  None      0.000   70763.5    3s2.3p  2P*   3s.3p.(3P*).4p    2P    2  4  None     None           L3597
  1414.240       None    None  None      0.000   70709.4    3s2.3p  2P*   3s.3p.(3P*).4p    2P    2  2  None     None           L3597
  1415.401       None    None  None    112.061   70763.5    3s2.3p  2P*   3s.3p.(3P*).4p    2P    4  4  None     None           L3597
  1416.481       None    None  None    112.061   70709.4    3s2.3p  2P*   3s.3p.(3P*).4p    2P    4  2  None     None           L3597
  1417.222       None    None  None      0.000   70560.5    3s2.3p  2P*   3s.3p.(3P*).4p    None  2  4  None     None           L3597
  1419.479       None    None  None    112.061   70560.5    3s2.3p  2P*   3s.3p.(3P*).4p    None  4  4  None     None           L3597
  1425.037       None    None  None    112.061   70285.7    3s2.3p  2P*   3s.3p.(3P*).4p    None  4  4  None     None           L3597
  1431.018       None    None  None      0.000   69880.3    3s2.3p  2P*   3s.3p.(3P*).4p    None  2  4  None     None           L3597
  1431.865       None    None  None      0.000   69839.3    3s2.3p  2P*   3s.3p.(3P*).4p    None  2  2  None     None           L3597
  1434.155       None    None  None    112.061   69839.3    3s2.3p  2P*   3s.3p.(3P*).4p    None  4  2  None     None           L3597
  1762.899       None    None  None      0.000   56724.980  3s2.3p  2P*   3s.3p2            2P    2  4  None     None           L4737
  1765.636       None    None  None      0.000   56636.933  3s2.3p  2P*   3s.3p2            2P    2  2  None     None           L4737
  1766.385       None    None  None    112.061   56724.980  3s2.3p  2P*   3s.3p2            2P    4  4  None     None           L4737
  1769.140       None    None  None    112.061   56636.933  3s2.3p  2P*   3s.3p2            2P    4  2  None     None           L4737
  1932.268       None    None  None      0.000   51752.7    3s2.3p  2P*   3s.3p2            2S    2  2  None     None           L3597
  1936.457       None    None  None    112.061   51752.7    3s2.3p  2P*   3s.3p2            2S    4  2  None     None           L3597
  2079.62        None    None  None      0.000   48070      3s2.3p  2P*   3s2.23d           2D    2  4  None     None            L130
  2079.62        None    None  None    112.061   48182      3s2.3p  2P*   3s2.34d           2D    4  6  None     None            L130
  2079.87        None    None  None    112.061   48177      3s2.3p  2P*   3s2.33d           2D    4  6  None     None            L130
  2080.15        None    None  None    112.061   48170      3s2.3p  2P*   3s2.32d           2D    4  6  None     None            L130
  2080.46        None    None  None      0.000   48051      3s2.3p  2P*   3s2.22d           2D    2  4  None     None            L130
  2080.46        None    None  None    112.061   48163      3s2.3p  2P*   3s2.31d           2D    4  6  None     None            L130
  2080.79        None    None  None    112.061   48155      3s2.3p  2P*   3s2.30d           2D    4  6  None     None            L130
  2081.15        None    None  None    112.061   48147      3s2.3p  2P*   3s2.29d           2D    4  6  None     None            L130
  2081.40        None    None  None      0.000   48031.1    3s2.3p  2P*   3s2.21d           2D    2  4  None     None            L130
  2081.57        None    None  None    112.061   48137      3s2.3p  2P*   3s2.28d           2D    4  6  None     None            L130
