#Linelist between 0 and 1.26E6 A (KALD)  -llc- TM (2015-3-12)
      0.000    2       3s2.3p  2P* 48234.898    2      3s2.52s  2S   4.623E-06    2072.5259
      0.000    2       3s2.3p  2P* 48234.500    4      3s2.51d  2D   1.383E-04    2072.5439
      0.000    2       3s2.3p  2P* 48233.113    2      3s2.51s  2S   4.897E-06    2072.6030
      0.000    2       3s2.3p  2P* 48232.691    4      3s2.50d  2D   1.469E-04    2072.6211
      0.000    2       3s2.3p  2P* 48231.219    2      3s2.50s  2S   5.200E-06    2072.6851
      0.000    2       3s2.3p  2P* 48230.770    4      3s2.49d  2D   1.559E-04    2072.7041
      0.000    2       3s2.3p  2P* 48229.203    2      3s2.49s  2S   5.533E-06    2072.7710
      0.000    2       3s2.3p  2P* 48228.723    4      3s2.48d  2D   1.659E-04    2072.7920
      0.000    2       3s2.3p  2P* 48227.051    2      3s2.48s  2S   5.874E-06    2072.8640
      0.000    2       3s2.3p  2P* 48226.543    4      3s2.47d  2D   1.770E-04    2072.8860
      0.000    2       3s2.3p  2P* 48224.758    2      3s2.47s  2S   6.266E-06    2072.9619
      0.000    2       3s2.3p  2P* 48224.215    4      3s2.46d  2D   1.888E-04    2072.9861
      0.000    2       3s2.3p  2P* 48222.309    2      3s2.46s  2S   6.683E-06    2073.0679
      0.000    2       3s2.3p  2P* 48221.727    4      3s2.45d  2D   2.014E-04    2073.0930
      0.000    2       3s2.3p  2P* 48219.684    2      3s2.45s  2S   7.128E-06    2073.1799
      0.000    2       3s2.3p  2P* 48219.062    4      3s2.44d  2D   2.158E-04    2073.2070
      0.000    2       3s2.3p  2P* 48216.871    2      3s2.44s  2S   7.638E-06    2073.3010
      0.000    2       3s2.3p  2P* 48216.207    4      3s2.43d  2D   2.312E-04    2073.3298
      0.000    2       3s2.3p  2P* 48213.855    2      3s2.43s  2S   8.184E-06    2073.4309
      0.000    2       3s2.3p  2P* 48213.137    4      3s2.42d  2D   2.477E-04    2073.4622
      0.000    2       3s2.3p  2P* 48210.609    2      3s2.42s  2S   8.769E-06    2073.5710
      0.000    2       3s2.3p  2P* 48209.836    4      3s2.41d  2D   2.667E-04    2073.6040
      0.000    2       3s2.3p  2P* 48207.109    2      3s2.41s  2S   9.440E-06    2073.7209
      0.000    2       3s2.3p  2P* 48206.277    4      3s2.40d  2D   2.871E-04    2073.7571
      0.000    2       3s2.3p  2P* 48203.336    2      3s2.40s  2S   1.016E-05    2073.8840
      0.000    2       3s2.3p  2P* 48202.438    4      3s2.39d  2D   3.097E-04    2073.9219
      0.000    2       3s2.3p  2P* 48199.254    2      3s2.39s  2S   1.096E-05    2074.0591
      0.000    2       3s2.3p  2P* 48198.281    4      3s2.38d  2D   3.349E-04    2074.1011
      0.000    2       3s2.3p  2P* 48194.824    2      3s2.38s  2S   1.186E-05    2074.2500
      0.000    2       3s2.3p  2P* 48193.770    4      3s2.37d  2D   3.622E-04    2074.2949
      0.000    2       3s2.3p  2P* 48190.016    2      3s2.37s  2S   1.282E-05    2074.4570
      0.000    2       3s2.3p  2P* 48188.871    4      3s2.36d  2D   3.935E-04    2074.5061
      0.000    2       3s2.3p  2P* 48184.781    2      3s2.36s  2S   1.393E-05    2074.6821
      0.000    2       3s2.3p  2P* 48183.531    4      3s2.35d  2D   4.285E-04    2074.7361
      0.000    2       3s2.3p  2P* 48179.066    2      3s2.35s  2S   1.517E-05    2074.9290
      0.000    2       3s2.3p  2P* 48177.699    4      3s2.34d  2D   4.677E-04    2074.9871
      0.000    2       3s2.3p  2P* 48172.812    2      3s2.34s  2S   1.656E-05    2075.1980
      0.000    2       3s2.3p  2P* 48171.316    4      3s2.33d  2D   5.116E-04    2075.2620
      0.000    2       3s2.3p  2P* 48165.945    2      3s2.33s  2S   1.811E-05    2075.4939
      0.000    2       3s2.3p  2P* 48164.305    4      3s2.32d  2D   5.610E-04    2075.5649
      0.000    2       3s2.3p  2P* 48158.387    2      3s2.32s  2S   1.986E-05    2075.8201
      0.000    2       3s2.3p  2P* 48156.578    4      3s2.31d  2D   6.166E-04    2075.8979
      0.000    2       3s2.3p  2P* 48150.039    2      3s2.31s  2S   2.183E-05    2076.1790
    112.061    4       3s2.3p  2P* 48260.793    4      3s2.80d  2D   3.639E-06    2076.2358
    112.061    4       3s2.3p  2P* 48260.793    6      3s2.80d  2D   3.221E-05    2076.2358
    112.061    4       3s2.3p  2P* 48260.445    2      3s2.80s  2S   1.270E-06    2076.2510
    112.061    4       3s2.3p  2P* 48260.340    4      3s2.79d  2D   3.775E-06    2076.2551
    112.061    4       3s2.3p  2P* 48260.340    6      3s2.79d  2D   3.349E-05    2076.2551
      0.000    2       3s2.3p  2P* 48148.043    4      3s2.30d  2D   6.807E-04    2076.2661
    112.061    4       3s2.3p  2P* 48259.977    2      3s2.79s  2S   1.318E-06    2076.2710
    112.061    4       3s2.3p  2P* 48259.867    6      3s2.78d  2D   3.475E-05    2076.2759
    112.061    4       3s2.3p  2P* 48259.867    4      3s2.78d  2D   3.926E-06    2076.2759
    112.061    4       3s2.3p  2P* 48259.492    2      3s2.78s  2S   1.371E-06    2076.2920
    112.061    4       3s2.3p  2P* 48259.379    4      3s2.77d  2D   4.083E-06    2076.2969
