#  lambda[Å] A_ki[s⁻¹] loggf   Acc  Ei[cm⁻¹]   Ek[cm⁻¹]  cfg_i                term_i     cfg_k                  term_k   gi  gk rtype ref1          ref2
  1854.36397   None    None   None   415.933  54342.779  3d6.4s2               a5D       3d7.(4F).5p            3D*       7  5  None None           L11631  
  1855.31741   None    None   None   704.007  54603.140  3d6.4s2               a5D       3d7.(4F).5p            5D*       5  3  None None           L11631  
  1855.57930   None    None   None     0.000  53891.526  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)   5D*       9  7  None None           L11631 
  1855.91404   None    None   None     0.000  53881.806  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)   5F*       9  9  None None           L11631  
  1856.21392   None    None   None   415.933  54289.034  3d6.4s2               a5D       3d7.(4F).5p            3F*       7  7  None None           L11631  
  1856.93732   None    None   None     0.000  53852.114  3d6.4s2               a5D       3d7.(4F).5p            5G*       9  9  None None        L11631c80  
  1857.29490   None    None   None   415.933  54257.679  3d6.4s2               a5D       3d7.(4F).5p            5G*       7  5  None None        L11631c80  
  1857.42926   None    None   None     0.000  53837.851  3d6.4s2               a5D       3d7.(4F).5p            3D*       9  7  None None           L11631 
  1857.72336   None    None   None  6928.268  60757.596  3d7.(4F).4s           a5F       3d6.(3H).4s.4p.(1P*)  t3H*      11  9  None None        L11631c80  
  1857.81592   None    None   None   704.007  54530.653  3d6.4s2               a5D       3d7.(4F).5p            5D*       5  5  None None           L11631  
  1858.10558   None    None   None   888.132  54706.387  3d6.4s2               a5D       3d7.(4F).5p            3F*       3  5  None None        L11631c80  
  1859.26308   None    None   None     0.000  53784.750  3d6.4s2               a5D       3d7.(4F).5p            5D*       9  7  None None           L11631  
  1861.03316   None    None   None     0.000  53733.594  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)   5F*       9  7  None None           L11631 
  1861.54838   None    None   None   415.933  54134.655  3d6.4s2               a5D       3d7.(4F).5p            5G*       7  7  None None        L11631c80  
  1861.67709   None    None   None   888.132  54603.140  3d6.4s2               a5D       3d7.(4F).5p            5D*       3  3  None None        L11631c80  
  1862.32581   None    None   None   415.933  54112.230  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)  t5P*       7  5  None None           L11631  
  1863.54807   None    None   None     0.000  53661.079  3d6.4s2               a5D       3d7.(4F).5p            5F*       9  7  None None        L11631c80  
  1864.19277   None    None   None   888.132  54530.653  3d6.4s2               a5D       3d7.(4F).5p            5D*       3  5  None None           L11631 
  1864.32307   None    None   None   704.007  54342.779  3d6.4s2               a5D       3d7.(4F).5p            3D*       5  5  None None           L11631  
  1864.74644   None    None   None   415.933  54042.527  3d6.4s2               a5D       3d7.(4F).5p            5F*       7  5  None None           L11631  
  1865.30930   None    None   None     0.000  53610.412  3d6.4s2               a5D       3d7.(4F).5p            5D*       9  9  None None           L11631  
  1865.61428   None    None   None   415.933  54017.581  3d6.4s2               a5D       3d7.(4F).5p            3G*       7  9  None None        L11631c80  
  1866.06209   None    None   None   415.933  54004.718  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)  t5P*       7  7  None None           L11631 
  1866.14131   None    None   None     0.000  53586.510  3d6.4s2               a5D       3d7.(4F).5p            5G*       9  11 None None           L11631  
  1866.19296   None    None   None   704.007  54289.034  3d6.4s2               a5D       3d7.(4F).5p            3F*       5  7  None None        L11631c80  
  1866.81907   None    None   None   704.007  54271.062  3d6.4s2               a5D       3d6.(3D).4s.4p.(3P*)  t5P*       5  3  None None           L11631  
