# lambda[Å]   A_ki[s⁻¹]  loggf   Acc    Ei[cm⁻¹]  Ek[cm⁻¹] cfg_i              term_i cfg_k               term_k gi gk rtype                      ref1  ref2
#     184.09    None      None   None      0.00   543210    2p6.3s                2S  2p5.3s.7d             None  2 nan None                      None  L2781
     870.3317 1.04e+06  -3.328  C         0.00   114898.72 2p6.3s                2S  2p6.9p                 2P*  2 4   None                       c31  L1790
     870.3463 1.08e+06  -3.613  C         0.00   114896.79 2p6.3s                2S  2p6.9p                 2P*  2 2   None                       c31  L1790
     874.640  1.69e+01   None   C         0.00   114332.74 2p6.3s                2S  2p6.8d                 2D   2 4    E2                      T2169   None
     884.6967 1.38e+06  -3.188  C         0.00   113033.09 2p6.3s                2S  2p6.8p                 2P*  2 4   None                       c31  L1790
     884.7189 1.44e+06  -3.474  C         0.00   113030.25 2p6.3s                2S  2p6.8p                 2P*  2 2   None                       c31  L1790
     891.289  4.25e+00   None   C         0.00   112197.05 2p6.3s                2S  2p6.7d                 2D   2 6    E2                      T5202   None
     907.3752 1.94e+06  -3.020  C         0.00   110207.99 2p6.3s                2S  2p6.7p                 2P*  2 4   None                       c31  L1790
     907.4115 2.02e+06  -3.303  C         0.00   110203.58 2p6.3s                2S  2p6.7p                 2P*  2 2   None                       c31  L1790
     918.273  2.69e+01   None   B         0.00   108900.02 2p6.3s                2S  2p6.6d                 2D   2 6    E2                      T5202   None
     946.7033 2.69e+06  -2.840  B         0.00   105629.72 2p6.3s                2S  2p6.6p                 2P*  2 4   None                       c31   L535
     946.7694 2.81e+06  -3.121  B         0.00   105622.34 2p6.3s                2S  2p6.6p                 2P*  2 2   None                       c31   L535
     966.934  1.97e+02   None   B+        0.00   103419.70 2p6.3s                2S  2p6.5d                 2D   2 6    E2                      T5202   None
    1025.9681 3.43e+06  -2.666  B         0.00    97468.92 2p6.3s                2S  2p6.5p                 2P*  2 4   None                 c31,T6870   L535
    1026.1134 3.63e+06  -2.942  B         0.00    97455.12 2p6.3s                2S  2p6.5p                 2P*  2 2   None                 c31,T6870   L535
    1071.690  1.04e+03   None   A         0.00    93310.59 2p6.3s                2S  2p6.4d                 2D   2 6    E2                      T5202   None
    1239.925  4.33e-05   None   D+        0.00    80650.02 2p6.3s                2S  2p6.4p                 2P*  2 4    M2                        c28   None
    1239.9253 1.35e+06  -2.906  C         0.00    80650.02 2p6.3s                2S  2p6.4p                 2P*  2 4   None       c31,T6870,T7256,c23   L535
    1240.3947 1.52e+06  -3.154  C         0.00    80619.50 2p6.3s                2S  2p6.4p                 2P*  2 2   None       c31,T6870,T7256,c23   L535
    1248.048  9.00e+05  -3.076  C     35669.31   115794.44 2p6.3p                2P* 2p6.9d                 2D   2 4   None                       c31   None
    1248.5068 3.83e+06  -2.747  B     35669.31   115764.99 2p6.3p                2P* 2p6.10s                2S   2 2   None                       c31   L535
    1249.476  1.74e+05  -3.787  C     35760.88   115794.44 2p6.3p                2P* 2p6.9d                 2D   4 4   None                       c31   None
    1249.477  1.06e+06  -2.829  C     35760.88   115794.39 2p6.3p                2P* 2p6.9d                 2D   4 6   None                       c31   None
    1249.9358 7.64e+06  -2.446  B     35760.88   115764.99 2p6.3p                2P* 2p6.10s                2S   4 2   None                       c31   L535
    1271.2387 1.23e+06  -2.924  C     35669.31   114332.74 2p6.3p                2P* 2p6.8d                 2D   2 4   None                       c31   L535
    1271.9402 4.49e+06  -2.662  C+    35669.31   114289.36 2p6.3p                2P* 2p6.9s                 2S   2 2   None                       c31   L535
    1272.720  2.38e+05  -3.636  C     35760.88   114332.74 2p6.3p                2P* 2p6.8d                 2D   4 4   None                       c31   None
    1272.7213 1.44e+06  -2.677  C+    35760.88   114332.68 2p6.3p                2P* 2p6.8d                 2D   4 6   None                       c31   L535
    1273.4233 8.97e+06  -2.361  C+    35760.88   114289.36 2p6.3p                2P* 2p6.9s                 2S   4 2   None                       c31   L535
    1306.7137 2.19e+06  -2.650  C+    35669.31   112197.17 2p6.3p                2P* 2p6.7d                 2D   2 4   None                       c31   L535
    1307.8753 6.72e+06  -2.463  C+    35669.31   112129.20 2p6.3p                2P* 2p6.8s                 2S   2 2   None                       c31   L535
    1308.279  4.25e+05  -3.361  C     35760.88   112197.17 2p6.3p                2P* 2p6.7d                 2D   4 4   None                       c31   None
    1308.2811 2.58e+06  -2.401  C+    35760.88   112197.05 2p6.3p                2P* 2p6.7d                 2D   4 6   None                       c31   L535
    1309.4435 1.34e+07  -2.162  C+    35760.88   112129.20 2p6.3p                2P* 2p6.8s                 2S   4 2   None                       c31   L535
    1365.5440 4.53e+06  -2.296  B+    35669.31   108900.20 2p6.3p                2P* 2p6.6d                 2D   2 4   None                       c31   L535
    1367.254  8.84e+05  -3.003  B     35760.88   108900.20 2p6.3p                2P* 2p6.6d                 2D   4 4   None                       c31   None
    1367.2570 5.35e+06  -2.046  B+    35760.88   108900.02 2p6.3p                2P* 2p6.6d                 2D   4 6   None                       c31   L535
    1367.7080 1.08e+07  -2.216  C+    35669.31   108784.33 2p6.3p                2P* 2p6.7s                 2S   2 2   None                       c31   L535
    1369.4231 2.17e+07  -1.915  B     35760.88   108784.33 2p6.3p                2P* 2p6.7s                 2S   4 2   None                       c31   L535
    1398.793  8.77e+03   None   B+        0.00    71490.19 2p6.3s                2S  2p6.3d                 2D   2 6    E2                T5202,T4898   None
    1432.563  1.87e-02   None   D         0.00    69804.95 2p6.3s                2S  2p6.4s                 2S   2 2    M1                        c28   None
    1475.9997 1.10e+07  -1.841  B     35669.31   103420.00 2p6.3p                2P* 2p6.5d                 2D   2 4   None                 c31,T6870   L535
    1477.997  2.16e+06  -2.548  B     35760.88   103420.00 2p6.3p                2P* 2p6.5d                 2D   4 4   None                 c31,T6870   None
    1478.0039 1.30e+07  -1.592  B     35760.88   103419.70 2p6.3p                2P* 2p6.5d                 2D   4 6   None                 c31,T6870   L535
    1480.8795 1.93e+07  -1.897  B+    35669.31   103196.75 2p6.3p                2P* 2p6.6s                 2S   2 2   None                       c31   L535
    1482.8903 3.85e+07  -1.596  B+    35760.88   103196.75 2p6.3p                2P* 2p6.6s                 2S   4 2   None                       c31   L535
    1653.44    None      None   None 428957      489440    2p5.(2P*).3s.3p.(3P*) 4S  2p5.(2P*).3s.3d.(3D)   4P*  4 6   None                      None L10581
    1716.74    None      None   None 428957      487205    2p5.(2P*).3s.3p.(3P*) 4S  2p5.(2P*).3s.4s.(3S)   4P*  4 6   None                      None L10581
    1734.8521 4.29e+07  -1.111  A     35669.31    93311.11 2p6.3p                2P* 2p6.4d                 2D   2 4   None             c31,T6870,c23   L535
    1734.852  6.55e-05   None   C     35669.31    93311.11 2p6.3p                2P* 2p6.4d                 2D   2 4    M2                        c28   None
    1734.868  4.70e-04   None   C+    35669.31    93310.59 2p6.3p                2P* 2p6.4d                 2D   2 6    M2                        c28   None
    1737.613  8.48e+06  -1.814  B+    35760.88    93311.11 2p6.3p                2P* 2p6.4d                 2D   4 4   None             c31,T6870,c23   None
    1737.613  1.22e-09   None   E     35760.88    93311.11 2p6.3p                2P* 2p6.4d                 2D   4 4    M2                        c28   None
    1737.6282 5.09e+07  -0.859  A     35760.88    93310.59 2p6.3p                2P* 2p6.4d                 2D   4 6   None             c31,T6870,c23   L535
    1737.628  2.54e-03   None   B     35760.88    93310.59 2p6.3p                2P* 2p6.4d                 2D   4 6    M2                        c28   None
    1750.6635 4.00e+07  -1.434  A     35669.31    92790.51 2p6.3p                2P* 2p6.5s                 2S   2 2   None                 c31,T6870   L535
    1753.4745 7.98e+07  -1.133  A     35760.88    92790.51 2p6.3p                2P* 2p6.5s                 2S   4 2   None                 c31,T6870   L535
    1806.78    None      None   None 434090      489440    2p5.(2P*).3s.3p.(3P*) 4D  2p5.(2P*).3s.3d.(3D)   4P*  8 6   None                      None L10581
    1808.55    None      None   None 434090      489383    2p5.(2P*).3s.3p.(3P*) 4D  2p5.(2P*).3s.3d.(3D)   4F*  8 10  None                      None L10581
    1824.65    None      None   None 434633      489440    2p5.(2P*).3s.3p.(3P*) 4D  2p5.(2P*).3s.3d.(3D)   4P*  6 6   None                      None L10581
    1882.64    None      None   None 434090      487205    2p5.(2P*).3s.3p.(3P*) 4D  2p5.(2P*).3s.4s.(3S)   4P*  8 6   None                      None L10581
    1902.04    None      None   None 434633      487205    2p5.(2P*).3s.3p.(3P*) 4D  2p5.(2P*).3s.4s.(3S)   4P*  6 6   None                      None L10581
    1928.01    None      None   None 437570      489440    2p5.(2P*).3s.3p.(3P*) 4P  2p5.(2P*).3s.3d.(3D)   4P*  6 6   None                      None L10581
    1992.98    None      None   None 438167      488587    2p5.(2P*).3s.3p.(3P*) 4P  2p5.(2P*).3p2.(3P)     4D*  4 6   None                      None L10581
    2014.63    None      None   None 437570      487205    2p5.(2P*).3s.3p.(3P*) 4P  2p5.(2P*).3s.4s.(3S)   4P*  6 6   None                      None L10581
    2028.97    None      None   None 437570      486856    2p5.(2P*).3s.3p.(3P*) 4P  2p5.(2P*).3p2.(3P)     4D*  6 8   None                      None L10581
    2183.21    None      None   None 437570      483373    2p5.(2P*).3s.3p.(3P*) 4P  2p5.(2P*).3p2.(3P)     4P*  6 6   None                      None L10581
    2212.10    None      None   None 438167      483373    2p5.(2P*).3s.3p.(3P*) 4P  2p5.(2P*).3p2.(3P)     4P*  4 6   None                      None L10581
    2217.601  8.95e+04  -3.578  C     69804.95   114898.72 2p6.4s                2S  2p6.9p                 2P*  2 4   None                       c31   None
    2217.696  9.63e+04  -3.848  C     69804.95   114896.79 2p6.4s                2S  2p6.9p                 2P*  2 2   None                       c31   None
    2223.176  4.05e+02   None   A     35669.31    80650.02 2p6.3p                2P* 2p6.4p                 2P*  2 4    E2                        c28   None
    2223.176  4.92e-04   None   E     35669.31    80650.02 2p6.3p                2P* 2p6.4p                 2P*  2 4    M1                        c28   None
    2224.685  1.68e-04   None   E     35669.31    80619.50 2p6.3p                2P* 2p6.4p                 2P*  2 2    M1                        c28   None
    2227.711  8.31e-04   None   E     35760.88    80650.02 2p6.3p                2P* 2p6.4p                 2P*  4 4    M1                        c28   None
    2227.711  4.02e+02   None   A     35760.88    80650.02 2p6.3p                2P* 2p6.4p                 2P*  4 4    E2                        c28   None
    2229.226  8.04e+02   None   A     35760.88    80619.50 2p6.3p                2P* 2p6.4p                 2P*  4 2    E2                        c28   None
    2229.226  1.64e-03   None   E     35760.88    80619.50 2p6.3p                2P* 2p6.4p                 2P*  4 2    M1                        c28   None
    2254.567  7.15e+05  -2.485  C+    71490.19   115844.60 2p6.3d                2D  2p6.9f                 2F*  6 6   None                       c31   None
    2254.567  1.07e+07  -1.184  B     71490.19   115844.60 2p6.3d                2D  2p6.9f                 2F*  6 8   None                       c31   None
    2254.611  1.00e+07  -1.337  B     71491.06   115844.60 2p6.3d                2D  2p6.9f                 2F*  4 6   None                       c31   None
    2303.695  3.69e+05  -2.930  C+    71490.19   114898.72 2p6.3d                2D  2p6.9p                 2P*  6 4   None                       c31   None
    2303.741  4.11e+04  -3.883  C     71491.06   114898.72 2p6.3d                2D  2p6.9p                 2P*  4 4   None                       c31   None
    2303.843  4.05e+05  -3.191  C     71491.06   114896.79 2p6.3d                2D  2p6.9p                 2P*  4 2   None                       c31   None
