#lambda[Å] A_ki[s⁻¹] loggf Acc   Ei[cm⁻¹]    Ek[cm⁻¹] cfg_i     term_i cfg_k                term_k    gi  gk rtype  ref1     ref2
130668     9.64e-03  None   A   264924.32  265689.62  2s2.2p5.3s  3P*  2s2.2p5.3s             3P*      5  3   M1      T7663  None
143800     3.29e-04  None   C+  299189.96  299885.37  2s2.2p5.3p  1D   2s2.2p5.3p             1P       5  3   M1      T7663  None
160839     6.03e-04  None   B   299885.37  300507.11  2s2.2p5.3p  1P   2s2.2p5.3p             3P       3  3   M1      T7663  None
168919     1.07e-02  None   A   265689.62  266281.62  2s2.2p5.3s  3P*  2s2.2p5.3s             3P*      3  1   M1     c46,T1  None
188740     5.05e-03  None   A   297635.61  298165.44  2s2.2p5.3p  3D   2s2.2p5.3p             3D       5  3   M1      T7663  None
199025     1.90e-03  None   B   299885.37  300387.82  2s2.2p5.3p  1P   2s2.2p5.3p             3P       3  1   M1      T7663  None
248020     7.07e-04  None   B+  300103.92  300507.11  2s2.2p5.3p  3P   2s2.2p5.3p             3P       5  3   M1      T7663  None
258540     1.29e-03  None   A   297248.82  297635.61  2s2.2p5.3p  3D   2s2.2p5.3p             3D       7  5   M1      T7663  None
457560     4.24e-05  None   B+  299885.37  300103.92  2s2.2p5.3p  1P   2s2.2p5.3p             3P       3  5   M1      T7663  None
838290     2.08e-05  None   B+  300387.82  300507.11  2s2.2p5.3p  3P   2s2.2p5.3p             3P       1  3   M1      T7663  None 
