#lambda[Å] A_ki[s⁻¹] loggf Acc   Ei[cm⁻¹]    Ek[cm⁻¹] cfg_i     term_i cfg_k                term_k    gi  gk rtype  ref1     ref2
  2872.120 2.75e+07 -0.991  B+  265689.62  300507.11  2s2.2p5.3s  3P*  2s2.2p5.3p             3P       3  3  None     T7663  L914
  2873.800 2.63e+07 -0.788  C+  298165.44  332962.57  2s2.2p5.3p  3D   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  3  5  None     T6036  L914
  2881.994 2.50e+08 -0.506  A   265689.62  300387.82  2s2.2p5.3s  3P*  2s2.2p5.3p             3P       3  1  None     T7663  L914
  2887.105 1.07e+08 -0.173  B+  298165.44  332802.21  2s2.2p5.3p  3D   2s2.2p5.(2P*<1/2>).3d  2[5/2]*  3  5  None     T7663  L914
  2894.802 1.48e+08 -0.732  B   298165.44  332710.11  2s2.2p5.3p  3D   2s2.2p5.(2P*<1/2>).4s  2[1/2]*  3  1  None     T7663  L914
  2901.993 1.1e+08  -0.020  E   297248.82  331707.90  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[5/2]*  7  7  None  T7663c81  L914
  2905.560 1.0e+07  -1.2    E   297248.82  331665.59  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[5/2]*  7  5  None  T6036c79  L914
  2905.769 7.30e+07 -0.335  A   265689.62  300103.92  2s2.2p5.3s  3P*  2s2.2p5.3p             3P       3  5  None     T7663  L914
  2918.375 7.92e+07 -0.297  B+  264924.32  299189.96  2s2.2p5.3s  3P*  2s2.2p5.3p             1D       5  5  None     T7663  L914
  2919.905 1.6e+08   0.0074 E   297248.82  331496.51  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  7  5  None  T7663c78  L914
  2920.704 1.33e+08 -0.292  C   297635.61  331873.93  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  5  3  None  T7663c79  L914
  2921.799 6.66e+07 -0.592  A   266281.62  300507.11  2s2.2p5.3s  3P*  2s2.2p5.3p             3P       1  3  None     T7663  L914
  2924.340 1.41e+07 -1.268  B   265689.62  299885.37  2s2.2p5.3s  3P*  2s2.2p5.3p             1P       3  3  None     T7663  L914
  2931.738 9.83e+07 -0.420  B+  297635.61  331745.06  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  5  3  None     T7663  L914
  2934.936 2.8e+07  -0.60   E   297635.61  331707.90  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[5/2]*  5  7  None  T7663c77  L914
  2938.585 1.3e+08  -0.081  E   297635.61  331665.59  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[5/2]*  5  5  None  T6036c79  L914
  2943.515 1.0e+07  -1.4    E   299189.96  333162.94  2s2.2p5.3p  1D   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  5  3  None  T7663c80  L914
  2946.560 2.8e+07  -0.60   E   297248.82  331186.70  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[7/2]*  7  7  None  T7663c78  L914
  2948.307 7.1e+07  -0.56   C   299189.96  333107.74  2s2.2p5.3p  1D   2s2.2p5.(2P*<1/2>).4s  2[1/2]*  5  3  None  T7663c80  L914
  2952.098 4.33e+08  0.707  A   297248.82  331123.04  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[7/2]*  7  9  None     T7663  L914
  2953.259 1.8e+07  -0.93   E   297635.61  331496.51  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  5  5  None  T7663c78  L914
  2960.980 5.60e+07 -0.434  B+  299189.96  332962.57  2s2.2p5.3p  1D   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  5  5  None     T7663  L914
  2966.612 4.6e+05  -2.7    E   298165.44  331873.93  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  3  3  None  T7663c79  L914
  2971.594 1.03e+07 -1.018  B   299189.96  332841.93  2s2.2p5.3p  1D   2s2.2p5.(2P*<1/2>).3d  2[5/2]*  5  7  None     T7663  L914
  2975.106 2.02e+07 -0.873  C+  299189.96  332802.21  2s2.2p5.3p  1D   2s2.2p5.(2P*<1/2>).3d  2[5/2]*  5  5  None     T6036  L914
  2975.858 6.47e+07 -0.588  B+  266281.62  299885.37  2s2.2p5.3s  3P*  2s2.2p5.3p             1P       1  3  None     T7663  L914
  2977.997 1.2e+08  -0.33   E   298165.44  331745.06  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  3  3  None  T6036c79  L914
  2980.530 2.0e+08   0.26   E   297635.61  331186.70  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[7/2]*  5  7  None  T6036c79  L914
  2981.494 3.30e+05 -2.658  D   297248.82  330789.05  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  7  5  None     T6036  L914
  2985.045 1.74e+07 -0.935  B   265689.62  299189.96  2s2.2p5.3s  3P*  2s2.2p5.3p             1D       3  5  None     T7663  L914
  2985.062 2.4e+08   0.20   E   298165.44  331665.59  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[5/2]*  3  5  None  T6036c79  L914
  3000.203 5.7e+05  -2.5    E   298165.44  331496.51  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  3  5  None  T7663c78  None
  3005.027 1.7e+07  -1.2    E   299885.37  333162.94  2s2.2p5.3p  1P   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  3  3  None  T6036c80  L914
  3008.322 1.68e+07 -1.164  B+  264924.32  298165.44  2s2.2p5.3s  3P*  2s2.2p5.3p             3D       5  3  None     T7663  L914
  3010.020 3.0e+07  -0.92   D   299885.37  333107.74  2s2.2p5.3p  1P   2s2.2p5.(2P*<1/2>).4s  2[1/2]*  3  3  None  T7663c80  L914
  3016.278 1.51e+07 -0.987  C+  297635.61  330789.05  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  5  5  None     T6036  L914
  3023.230 6.91e+05 -2.324  D+  299885.37  332962.57  2s2.2p5.3p  1P   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  3  5  None     T7663  L914
  3024.893 2.3e+06  -2.0    E   300103.92  333162.94  2s2.2p5.3p  3P   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  5  3  None  T7663c80  L914
  3029.952 9.9e+07  -0.39   E   300103.92  333107.74  2s2.2p5.3p  3P   2s2.2p5.(2P*<1/2>).4s  2[1/2]*  5  3  None  T7663c80  L914
  3030.198 6.32e+06 -1.583  C   297635.61  330636.75  2s2.2p5.3p  3D   2s2.2p5.(2P*<3/2>).3d  2[1/2]*  5  3  None     T6036  L914
  3037.959 2.55e+08  0.246  B+  299885.37  332802.21  2s2.2p5.3p  1P   2s2.2p5.(2P*<1/2>).3d  2[5/2]*  3  5  None     T6036  L914
  3043.338 7.49e+05 -2.284  D   300103.92  332962.57  2s2.2p5.3p  3P   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  5  5  None     T6036  L914
  3046.483 6.92e+07 -1.016  C+  299885.37  332710.11  2s2.2p5.3p  1P   2s2.2p5.(2P*<1/2>).4s  2[1/2]*  3  1  None     T7663  L914
  3051.095 1.3e+08  -0.25   E   300387.82  333162.94  2s2.2p5.3p  3P   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  1  3  None  T7663c80  L914
  3054.553 3.0e+08   0.47   E   300103.92  332841.93  2s2.2p5.3p  3P   2s2.2p5.(2P*<1/2>).3d  2[5/2]*  5  7  None  T6036c79  L914
  3056.242 8.8e+06  -1.4    E   300387.82  333107.74  2s2.2p5.3p  3P   2s2.2p5.(2P*<1/2>).4s  2[1/2]*  1  3  None  T7663c80  L914
  3057.049 7.46e+07 -0.280  A   264924.32  297635.61  2s2.2p5.3s  3P*  2s2.2p5.3p             3D       5  5  None     T7663  L914
  3058.264 4.51e+07 -0.500  B+  300103.92  332802.21  2s2.2p5.3p  3P   2s2.2p5.(2P*<1/2>).3d  2[5/2]*  5  5  None     T7663  L914
  3059.604 2.18e+07 -1.036  C+  299189.96  331873.93  2s2.2p5.3p  1D   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  5  3  None     T7663  L914
