#Linelist K 1 between 0 and 1.26E6 A (VALD)  -llc- TM (2014-4-11)
 12985.526    2  3p6.4p  2P* 33568.797    4   3p6.9d  2D   1.199E-03    4856.0918
 13041.985    4  3p6.4p  2P* 33601.059    2  3p6.11s  2S   5.104E-04    4863.4800
 13041.985    4  3p6.4p  2P* 33568.797    4   3p6.9d  2D   1.197E-04    4869.7422
 13041.985    4  3p6.4p  2P* 33568.797    6   3p6.9d  2D   1.091E-03    4869.7539
 12985.526    2  3p6.4p  2P* 33213.914    2  3p6.10s  2S   7.798E-04    4942.0068
 12985.526    2  3p6.4p  2P* 33181.648    4   3p6.8d  2D   1.581E-03    4950.8140
 13041.985    4  3p6.4p  2P* 33213.914    2  3p6.10s  2S   7.779E-04    4956.1460
 13041.985    4  3p6.4p  2P* 33181.648    4   3p6.8d  2D   1.577E-04    4965.0029
 13041.985    4  3p6.4p  2P* 33181.648    6   3p6.8d  2D   1.439E-03    4965.0298
 12985.526    2  3p6.4p  2P* 32649.322    2   3p6.9s  2S   1.352E-03    5084.2300
 12985.526    2  3p6.4p  2P* 32600.930    4   3p6.7d  2D   2.285E-03    5097.1709
 13041.985    4  3p6.4p  2P* 32649.322    2   3p6.9s  2S   1.349E-03    5099.1948
 13041.985    4  3p6.4p  2P* 32600.930    4   3p6.7d  2D   2.280E-04    5112.2119
 13041.985    4  3p6.4p  2P* 32600.930    6   3p6.7d  2D   2.079E-03    5112.2461
 12985.526    2  3p6.4p  2P* 31762.113    2   3p6.8s  2S   2.685E-03    5323.2759
 13041.985    4  3p6.4p  2P* 31762.113    2   3p6.8s  2S   2.679E-03    5339.6831
 12985.526    2  3p6.4p  2P* 31697.590    4   3p6.6d  2D   3.303E-03    5342.9692
 13041.985    4  3p6.4p  2P* 31697.590    4   3p6.6d  2D   3.296E-04    5359.4980
 13041.985    4  3p6.4p  2P* 31697.590    6   3p6.6d  2D   3.006E-03    5359.5732
 12985.526    2  3p6.4p  2P* 30278.053    2   3p6.7s  2S   6.151E-03    5782.3838
 13041.985    4  3p6.4p  2P* 30278.053    2   3p6.7s  2S   6.137E-03    5801.7490
 12985.526    2  3p6.4p  2P* 30189.334    4   3p6.5d  2D   2.812E-03    5812.1489
 13041.985    4  3p6.4p  2P* 30189.334    4   3p6.5d  2D   2.805E-04    5831.7139
 13041.985    4  3p6.4p  2P* 30189.334    6   3p6.5d  2D   2.558E-03    5831.8838
 12985.526    2  3p6.4p  2P* 27447.049    2   3p6.6s  2S   1.945E-02    6911.0820
 12985.526    2  3p6.4p  2P* 27398.654    4   3p6.4d  2D   3.707E-04    6936.2778
 13041.985    4  3p6.4p  2P* 27447.049    2   3p6.6s  2S   1.941E-02    6938.7632
 13041.985    4  3p6.4p  2P* 27398.654    4   3p6.4d  2D   3.698E-05    6964.1611
 13041.985    4  3p6.4p  2P* 27398.654    6   3p6.4d  2D   3.372E-04    6964.6802
 21026.875    2  3p6.5s  2S  34681.844    4  3p6.20p  2P*  2.877E-03    7321.1519
 21026.875    2  3p6.5s  2S  34681.844    2  3p6.20p  2P*  1.442E-03    7321.1519
 21026.875    2  3p6.5s  2S  34641.516    4  3p6.19p  2P*  2.285E-03    7342.1538
 21026.875    2  3p6.5s  2S  34641.516    2  3p6.19p  2P*  1.145E-03    7342.1538
 21026.875    2  3p6.5s  2S  34593.121    4  3p6.18p  2P*  1.815E-03    7367.3198
 21026.875    2  3p6.5s  2S  34593.121    2  3p6.18p  2P*  9.099E-04    7367.3198
 21026.875    2  3p6.5s  2S  34536.660    4  3p6.17p  2P*  1.442E-03    7397.7559
 21026.875    2  3p6.5s  2S  34536.660    2  3p6.17p  2P*  7.227E-04    7397.8711
 21026.875    2  3p6.5s  2S  34472.137    4  3p6.16p  2P*  1.227E-03    7435.1748
 21026.875    2  3p6.5s  2S  34472.137    2  3p6.16p  2P*  6.151E-04    7435.3130
 21026.875    2  3p6.5s  2S  34391.480    4  3p6.15p  2P*  1.094E-03    7481.8999
 21026.875    2  3p6.5s  2S  34391.480    2  3p6.15p  2P*  5.482E-04    7482.0679
 21026.875    2  3p6.5s  2S  34286.629    4  3p6.14p  2P*  8.298E-05    7541.3359
 21026.875    2  3p6.5s  2S  34286.629    2  3p6.14p  2P*  4.159E-05    7541.5518
 21535.004    6  3p6.3d  2D  34681.844    4  3p6.20p  2P*  2.301E-03    7604.1118
 21535.004    4  3p6.3d  2D  34681.844    4  3p6.20p  2P*  3.872E-04    7605.4468
 21535.004    4  3p6.3d  2D  34681.844    2  3p6.20p  2P*  1.941E-03    7605.4468
 21026.875    2  3p6.5s  2S  34149.516    4  3p6.13p  2P*  1.119E-04    7618.6460
