 #lambda[Å] A_ki[s⁻¹]  loggf Acc Ei[cm⁻¹]  Ek[cm⁻¹]  cfg_i term_i cfg_k  term_k gi gk rtype   ref1    ref2
   1644.443 1.3e+06   -2.68   D  13710.88  74521.75  3p6.3d  2D   3p6.6p   2P*  6  4  None      u7,LS L7256
   1673.860 2.24e+07  -1.424  C  25191.51  84933.65  3p6.4p  2P*  3p6.7d   2D   2  4  None      u7,LS L7256
   1680.051 2.65e+07  -1.172  C  25414.40  84936.41  3p6.4p  2P*  3p6.7d   2D   4  6  None      u7,LS L7256
   1680.129 4.41e+06  -2.127  C  25414.40  84933.65  3p6.4p  2P*  3p6.7d   2D   4  4  None      u7,LS L7256
   1691.779 9.0e+06   -2.11   C  25191.51  84300.89  3p6.4p  2P*  3p6.8s   2S   2  2  None      u7,LS L7256
   1698.182 1.79e+07  -1.810  C  25414.40  84300.89  3p6.4p  2P*  3p6.8s   2S   4  2  None      u7,LS L7256
   1807.337 4.12e+07  -1.093  C  25191.51  80521.53  3p6.4p  2P*  3p6.6d   2D   2  4  None      u7,LS L7256
   1814.495 4.86e+07  -0.842  C  25414.40  80526.16  3p6.4p  2P*  3p6.6d   2D   4  6  None      u7,LS L7256
   1814.647 7.0e+06   -1.86   C  25414.40  80521.53  3p6.4p  2P*  3p6.6d   2D   4  4  None      T8043 L7256
   1838.008 2.44e+08  -0.130  C  13650.19  68056.91  3p6.3d  2D   3p6.4f   2F*  4  6  None      u7,LS L7256
   1840.061 2.60e+08   0.024  C  13710.88  68056.91  3p6.3d  2D   3p6.4f   2F*  6  8  None      u7,LS L7256
   1840.061 1.73e+07  -1.278  C  13710.88  68056.91  3p6.3d  2D   3p6.4f   2F*  6  6  None      u7,LS L7256
   1843.088 1.55e+07  -1.802  C  25191.51  79448.28  3p6.4p  2P*  3p6.7s   2S   2  2  None      u7,LS L7256
   1850.691 3.08e+07  -1.500  C  25414.40  79448.28  3p6.4p  2P*  3p6.7s   2S   4  2  None      u7,LS L7256
   2103.902 8.2e+07   -0.66   C  25191.51  72722.23  3p6.4p  2P*  3p6.5d   2D   2  4  None      T8043 L7323
   2113.426 9.7e+07   -0.41   C  25414.40  72730.93  3p6.4p  2P*  3p6.5d   2D   4  6  None      T8043 L7323
   2113.815 1.6e+07   -1.37   C  25414.40  72722.23  3p6.4p  2P*  3p6.5d   2D   4  4  None      T8043 L7323
   2129.422 2.0e+05   -3.26   D  13650.19  60611.28  3p6.3d  2D   3p6.5p   2P*  4  4  None      u7,LS L7323
   2132.178 1.8e+06   -2.31   D  13710.88  60611.28  3p6.3d  2D   3p6.5p   2P*  6  4  None      u7,LS L7323
   2132.977 2.0e+06   -2.56   D  13650.19  60533.02  3p6.3d  2D   3p6.5p   2P*  4  2  None      u7,LS L7323
   2198.473 3.1e+07   -1.35   C  25191.51  70677.62  3p6.4p  2P*  3p6.6s   2S   2  2  None      T8043 L7323
