 #lambda[Å] A_ki[s⁻¹]   loggf   Acc  Ei[cm⁻¹] Ek[cm⁻¹]   cfg_i             term_i   cfg_k               term_k    gi  gk rtype  ref1   ref2
  1389.284  1.28e+08   -0.586 None  170831.1  242810.6   3p5.3d             3F*     3p5.(2P*<3/2>).6f  2[7/2]      7  7  None  T8304  L12188
  1389.976  9.32e+06   -1.870 None  170831.1  242774.8   3p5.3d             3F*     3p5.(2P*<3/2>).6f  2[5/2]      7  5  None  T8304  L12188
  1390.799  6.59e+08    0.236 None  170831.1  242732.2   3p5.3d             3F*     3p5.(2P*<3/2>).6f  2[9/2]      7  9  None  T8304  L12188
  1403.536  3.49e+06   -2.142 None  171522.6  242771.2   3p5.3d             3F*     3p5.(2P*<3/2>).6f  2[5/2]      5  7  None  T8304  L12188
  1456.524  2.52e+08   -0.142 None  170831.1  239487.7   3p5.3d             3F*     3p5.(2P*<1/2>).5f  2[7/2]      7  9  None  T8304  L12188
  1471.393  4.32e+08   -0.008 None  171522.6  239485.4   3p5.3d             3F*     3p5.(2P*<1/2>).5f  2[7/2]      5  7  None  T8304  L12188
  1484.576  3.84e+06   -2.052 None  170049.2  237408.5   3p5.3d             3F*     3p5.(2P*<3/2>).5f  2[7/2]      9  7  None  T8304  L12188
  1486.109  6.81e+06   -1.802 None  170049.2  237339.0   3p5.3d             3F*     3p5.(2P*<3/2>).5f  2[5/2]      9  7  None  T8304  L12188
  1487.608  1.15e+09    0.623 None  170049.2  237271.2   3p5.3d             3F*     3p5.(2P*<3/2>).5f  2[9/2]      9  11 None  T8304  L12188
  1492.043  2.81e+06   -2.329 None  162502.7  229524.9   3p5.4s             3P*     3p5.(2P*<1/2>).4f  2[5/2]      5  5  None  T8304  L12188
  1492.442  3.98e+07   -1.031 None  162502.7  229507.0   3p5.4s             3P*     3p5.(2P*<1/2>).4f  2[5/2]      5  7  None  T8304  L12188
  1503.181  7.25e+06   -1.911 None  170831.1  237356.7   3p5.3d             3F*     3p5.(2P*<3/2>).5f  2[5/2]      7  5  None  T8304  L12188
  1503.581  2.27e+07   -1.269 None  170831.1  237339.0   3p5.3d             3F*     3p5.(2P*<3/2>).5f  2[5/2]      7  7  None  T8304  L12188
  1505.022  5.40e+08    0.218 None  170831.1  237275.3   3p5.3d             3F*     3p5.(2P*<3/2>).5f  2[9/2]      7  9  None  T8304  L12188
  1508.462  2.92e+07   -1.303 None  163232.2  229524.9   3p5.4s             3P*     3p5.(2P*<1/2>).4f  2[5/2]      3  5  None  T8304  L12188
  1517.775  2.41e+08   -0.235 None  171522.6  237408.5   3p5.3d             3F*     3p5.(2P*<3/2>).5f  2[7/2]      5  7  None  T8304  L12188
  1518.970  4.31e+07   -1.128 None  171522.6  237356.7   3p5.3d             3F*     3p5.(2P*<3/2>).5f  2[5/2]      5  5  None  T8304  L12188
  1519.378  2.63e+06   -2.196 None  171522.6  237339.0   3p5.3d             3F*     3p5.(2P*<3/2>).5f  2[5/2]      5  7  None  T8304  L12188
  1522.485  2.33e+06   -2.615 None  171522.6  237204.7   3p5.3d             3F*     3p5.(2P*<3/2>).5f  2[3/2]      5  3  None  T8304  L12188
  1537.683  8.17e+07   -0.839 None  164492.0  229524.9   3p5.3d             3P*     3p5.(2P*<1/2>).4f  2[5/2]      3  5  None  T8304  L12188
