#E[cm⁻¹]     g  configuration
 61289.19    3  3s.18p_1P*
 61308.4     5  3s.18d_1D 
 61330.55    3  3s.19p_1P*
 61346.7     5  3s.19d_1D 
 61365.55    3  3s.20p_1P*
 61379.2     5  3s.20d_1D 
 61395.43    3  3s.21p_1P*
 61407       5  3s.21d_1D 
 61421.14    3  3s.22p_1P*
 61432       5  3s.22d_1D 
 61443.41    3  3s.23p_1P*
 61452       5  3s.23d_1D 
 61462.82    3  3s.24p_1P*
 61471       5  3s.24d_1D 
 61479.87    3  3s.25p_1P*
 61487       5  3s.25d_1D 
 61494.90    3  3s.26p_1P*
 61508.24    3  3s.27p_1P*
 61520.12    3  3s.28p_1P*
 61530.73    3  3s.29p_1P*
 61540.26    3  3s.30p_1P*
 61548.81    3  3s.31p_1P*
 61556.63    3  3s.32p_1P*
 61563.68    3  3s.33p_1P*
 61570.11    3  3s.34p_1P*
 61575.99    3  3s.35p_1P*
 61581.34    3  3s.36p_1P*
 61586.33    3  3s.37p_1P*
 61590.82    3  3s.38p_1P*
 61595.02    3  3s.39p_1P*
 61598.87    3  3s.40p_1P*
 61602.44    3  3s.41p_1P*
 61605.74    3  3s.42p_1P*
 61608.86    3  3s.43p_1P*
 61611.67    3  3s.44p_1P*
 61614.40    3  3s.45p_1P*
 61616.88    3  3s.46p_1P*
 61619.23    3  3s.47p_1P*
 61621.43    3  3s.48p_1P*
 61623.49    3  3s.49p_1P*
 61625.45    3  3s.50p_1P*
 61627.17    3  3s.51p_1P*
 61628.94    3  3s.52p_1P*
 61630.60    3  3s.53p_1P*
 61631.99    3  3s.54p_1P*
 61633.43    3  3s.55p_1P*
 61634.87    3  3s.56p_1P*
 61636.20    3  3s.57p_1P*
 61637.27    3  3s.58p_1P*
 61638.48    3  3s.59p_1P*
 61671.05    2  3s_2S
 68275       1  3p2_1S
 76940       3  3p.4s_3P*
 78660       3  3p.4s_1P*
 80693.01    5  3p.3d_1D*
 83511.25    3  3p.3d_3D*
 83520.47    5  3p.3d_3D*
 83536.84    7  3p.3d_3D*
 85925       3  3p.3d_1P*
 87580       3  3p.5s_3P*
 88060       3  3p.5s_1P*
 90777       3  3p.4d_1P*
 91620       3  3p.6s_3P*
 91840       3  3p.6s_1P*
 93152       3  3p.5d_1P*
 93540       3  3p.7s_3P*
 93680       3  3p.7s_1P*
 94420       3  3p.6d_1P*
 94650       3  3p.8s_3P*
 94770       3  3p.8s_1P*
 95223       3  3p.7d_1P*
 95352       3  3p.9s_3P*
 95440       3  3p.9s_1P*
 95736       3  3p.8d_1P*
 95895       3  3p.10s_1P*
 96089       3  3p.9d_1P*
 96200       3  3p.11s_1P*
 96346       3  3p.10d_1P*
 96436       3  3p.12s_1P*
 97340.33    2  3p_2P*    
 97431.90    4  3p_2P*    
114360       3  4s.4p_1P*
122940       3  4s.5p_1P*
125930       3  4s.6p_1P*
127720       3  4s.7p_1P*
131475.97    2  4s_2S
442000       3  2p5.(2P*<3/2>).3s2.4s<1/2>_(3/2,1/2)*  
443300       3  2p5.(2P*).3s.3p2.(4P)_3P*
444130       3  2p5.(2P*<1/2>).3s2.4s<1/2>_(1/2,1/2)*  
447570       3  2p5.(2P*<3/2>).3s2.3d_2[3/2]*  
447570       3  2p5.(2P*<3/2>).3s2.3d_2[1/2]*  
449070       3  2p5.(2P*).3s.3p2.(2D)_1P*
450370       3  2p5.(2P*<1/2>).3s2.3d_2[3/2]*  
453910       3  2p5.(2P*<3/2>).3s2.5s<1/2>_(3/2,1/2)*  
454430       3  2p5.(2P*<3/2>).3s2.4d_2[3/2]*    
454620       3  2p5.(2P*<3/2>).3s2.4d_2[1/2]*  
456060       3  2p5.(2P*<1/2>).3s2.5s<1/2>_(1/2,1/2)*  
456540       3  2p5.(2P*<1/2>).3s2.4d_2[3/2]*  
457940       3  2p5.(2P*<3/2>).3s2.6s<1/2>_(3/2,1/2)*  
458250       3  2p5.(2P*<3/2>).3s2.5d_2[3/2]*  
458250       3  2p5.(2P*<3/2>).3s2.5d_2[1/2]*
460050       3  2p5.(2P*<1/2>).3s2.6s<1/2>_(1/2,1/2)*  
460380       3  2p5.(2P*<1/2>).3s2.5d_2[3/2]*
460380       3  2p5.(2P*<1/2>).3s2.5d_2[1/2]*
460380       3  2p5.(2P*<3/2>).3s2.6d_2[3/2]*
461480       3  2p5.(2P*<3/2>).3s2.7d_2[3/2]*
461480       3  2p5.(2P*<3/2>).3s2.7d_2[1/2]*
462170       3  2p5.(2P*<1/2>).3s2.7s<1/2>_(1/2,1/2)*  
462530       3  2p5.(2P*<1/2>).3s2.6d_2[3/2]*
464130       4  2p5.3s2_2P*
464150       3  2p5.(2P*<1/2>).3s2.9s<1/2>_(1/2,1/2)* 
464470       3  2p5.(2P*<1/2>).3s2.8d_2[3/2]*    
466300       2  2p5.3s2_2P*
468340       3  2p5.(2P*).3s.3p2.(2S)_1P*
476190       3  2p5.(2P*).3s.3p2.(2P)_1P*
489380       3  2p5.(2P*).3s.3p.(3P*).(2P<3/2>).4p  
491910       3  2p5.(2P*).3s.3p.(3P*).(2S<1/2>).4p  
493220       3  2p5.(2P*).3s.3p.(3P*).(2S<1/2>).4p  
494020       3  2p5.(2P*).3s.3p.(3P*).4p  
495340       3  2p5.(2P*).3s.3p.(3P*).(2P<3/2>).5p  
498930       3  2p5.(2P*).3s.3p.(3P*).(2S<1/2>).5p  
501860       3  2p5.(2P*).3s.3p.(3P*).(2S<1/2>).6p  
503450       3  2p5.(2P*).3s.3p.(3P*).(2S<1/2>).7p  
504390       3  2p5.(2P*).3s.3p.(3P*).(2S<1/2>).8p  
504920       3  2p5.(2P*).3s.3p.(3P*).(2S<1/2>).9p  
508130       3  2p5.(2P*).3s.3p.(1P*).(2S<1/2>).4p  
513720       3  2p5.(2P*).3p2.(1D).(2P*<3/2>).4s  
515280       3  2p5.(2P*).3s.3p.(1P*).(2S<1/2>).5p  
526510       3  526510
529800       3  529800
532820       3  532820
533600       3  2p5.(2P*).3p2.(3P).(2P*).4s  
537780       3  2p5.(2P*).3s.3d2  
539160       2  2p5.(2P*).3p2.(1D)_2P*
539930       4  2p5.(2P*).3p2.(1D)_2P* 
544870       3  2p5.(2P*).3s.3d.(3D).(2P*<3/2>).4d  
546060       3  2p5.(2P*).3s.3d.(3D).(2P*<3/2>).4d  
546360       3  2p5.(2P*).3s.3d.(3D).(2P*<1/2>).4d  
547350       3  2p5.(2P*).3p2.(3P).(2P*).3d  
549270       3  2p5.(2P*).3s.3d.(3D).(2P*<1/2>).5d  
552490       3  2p5.(2P*).3p2.(1S).(2P*<3/2>).4s  
553710       3  2p5.(2P*).3p2.(1S).(2P*<1/2>).4s  
554430       4  2p5.(2P*).3s.3d.(3D)_2P*
555470       2  2p5.(2P*).3s.3d.(3D)_2P*
