#E[cm⁻¹]      g  cfg_term     
 38678.039    5  3d7.(4F).4p_y3D*
 38995.736    3  3d7.(4F).4p_y3D*
 39625.804    9  3d6.(5D).4s.4p.(1P*)_x5D*   
 39969.853    7  3d6.(5D).4s.4p.(1P*)_x5D*
 40231.336    5  3d6.(5D).4s.4p.(1P*)_x5D*
 40404.518    3  3d6.(5D).4s.4p.(1P*)_x5D*
 40491.284    1  3d6.(5D).4s.4p.(1P*)_x5D*
 40052.035    5  3d5.(6S).4s2.4p_y7P*   
 40207.091    7  3d5.(6S).4s2.4p_y7P*
 40421.938    9  3d5.(6S).4s2.4p_y7P*
 40257.314   11  3d6.(5D).4s.4p.(1P*)_x5F*   
 40594.432    9  3d6.(5D).4s.4p.(1P*)_x5F*
 40842.154    7  3d6.(5D).4s.4p.(1P*)_x5F*
 41018.051    5  3d6.(5D).4s.4p.(1P*)_x5F*
 41130.599    3  3d6.(5D).4s.4p.(1P*)_x5F*
 40871.412    5  3d8_3P      
 41178.412    3  3d8_3P
 41234.505    1  3d8_3P
 40894.990    5  3d6.(3P2).4s.4p.(3P*)_z5S*   
 42532.741    7  3d6.(3P2).4s.4p.(3P*)_x5P*   
 42859.778    5  3d6.(3P2).4s.4p.(3P*)_x5P*
 43079.023    3  3d6.(3P2).4s.4p.(3P*)_x5P*
 42784.352   13  3d6.(3H).4s.4p.(3P*)_y5G*   
 42911.917   11  3d6.(3H).4s.4p.(3P*)_y5G*
 43022.985    9  3d6.(3H).4s.4p.(3P*)_y5G*
 43137.487    7  3d6.(3H).4s.4p.(3P*)_y5G*
 43210.025    5  3d6.(3H).4s.4p.(3P*)_y5G*
 42815.855   11  3d6.(5D).4s.(6D).5s_e7D    
 43163.326    9  3d6.(5D).4s.(6D).5s_e7D
 43434.627    7  3d6.(5D).4s.(6D).5s_e7D
 43633.533    5  3d6.(5D).4s.(6D).5s_e7D
 43763.980    3  3d6.(5D).4s.(6D).5s_e7D
 42903.861   13  3d6.(3H).4s.4p.(3P*)_z5I*   
 43442.705    9  3d6.(3H).4s.4p.(3P*)_z5I*
 43460.121   11  3d6.(3H).4s.4p.(3P*)_z5I*
 42991.697   11  3d6.(3H).4s.4p.(3P*)_z5H*   
 43108.917    9  3d6.(3H).4s.4p.(3P*)_z5H*
 43321.096   13  3d6.(3H).4s.4p.(3P*)_z5H*
 43325.964    7  3d6.(3H).4s.4p.(3P*)_z5H*
 43499.505    9  3d6.(3P2).4s.4p.(3P*)_w5D*   
 43922.668    7  3d6.(3P2).4s.4p.(3P*)_w5D*
 44183.628    5  3d6.(3P2).4s.4p.(3P*)_w5D*
 44411.160    3  3d6.(3P2).4s.4p.(3P*)_w5D*
 44458.934    1  3d6.(3P2).4s.4p.(3P*)_w5D*
 44022.525    9  3d6.(3F2).4s.4p.(3P*)_v5D*   
 44166.206    7  3d6.(3F2).4s.4p.(3P*)_v5D*
 44664.075    5  3d6.(3F2).4s.4p.(3P*)_v5D*
 44760.746    3  3d6.(3F2).4s.4p.(3P*)_v5D*
 44826.900    1  3d6.(3F2).4s.4p.(3P*)_v5D*
 44243.685   11  3d6.(3F2).4s.4p.(3P*)_w5F*   
 44285.454    5  3d6.(3F2).4s.4p.(3P*)_w5F*
 44378.342    3  3d6.(3F2).4s.4p.(3P*)_w5F*
 44415.074    9  3d6.(3F2).4s.4p.(3P*)_w5F*
 44551.335    7  3d6.(3F2).4s.4p.(3P*)_w5F*
 44511.812    5  3d7.(4P).4p_y5S*   
 44677.006    9  3d6.(5D).4s.(6D).5s_e5D    
