#E[cm⁻¹]      g  cfg_term     
 57026.960    7  3d6.4s.(6D).6p_7F*
 57121.604    1  3d6.4s.(6D).6p_7F*
 57140.424    5  3d6.4s.(6D).6p_7F*
 57174.430    3  3d6.4s.(6D).6p_7F*
 56333.960   13  3d6.(1I).4s.4p.(3P*)_u3H*   
 56382.662   11  3d6.(1I).4s.4p.(3P*)_u3H*
 56423.283    9  3d6.(1I).4s.4p.(3P*)_u3H*
 56341.860   13  3d6.4s.(6D).5d_5G      
 56550.634   11  3d6.4s.(6D).5d_5G
 56673.145    9  3d6.4s.(6D).5d_5G
 57055.616    7  3d6.4s.(6D).5d_5G
 57233.843    5  3d6.4s.(6D).5d_5G
 56427.977   13  3d6.4s.(6D).5d_7F      
 57029.614    5  3d6.4s.(6D).5d_7F
 57084.281    7  3d6.4s.(6D).5d_7F
 57213.744    3  3d6.4s.(6D).5d_7F
 57307.320    9  3d6.4s.(6D).5d_7F
 56842.733   11  3d6.4s.(6D).5d_7F
 56432.021   11  3d6.4s.(6D).5d_7D      
 56842.811    5  3d6.4s.(6D).5d_7D
 57004.359    3  3d6.4s.(6D).5d_7D
 57070.371    7  3d6.4s.(6D).5d_7D
 56452.018    9  3d6.4s.(6D).5d_7D
 56462.016    7  3d6.4s.(6D).5d_7P      
 56844.475    9  3d6.4s.(6D).5d_7P
 57291.238    5  3d6.4s.(6D).5d_7P
 56536.048   15  3d6.4s.(6D).5d_7G      
 56874.916   13  3d6.4s.(6D).5d_7G
 57126.823   11  3d6.4s.(6D).5d_7G
 57155.857    9  3d6.4s.(6D).5d_7G
 57320.347    3  3d6.4s.(6D).5d_7G
 57361.366    7  3d6.4s.(6D).5d_7G
 57450.664    5  3d6.4s.(6D).5d_7G
 56541.596    9  3d6.4s.(6D).6p_7P*     
 56888.423    7  3d6.4s.(6D).6p_7P*
 57190.212    5  3d6.4s.(6D).6p_7P*
 56592.703    9  3d6.(1G2).4s.4p.(3P*)_u3F*   
 56783.322    7  3d6.(1G2).4s.4p.(3P*)_u3F*
 56858.653    5  3d6.(1G2).4s.4p.(3P*)_u3F*
 56707.284   11  3d6.4s.(6D).6p_5F*     
 57064.346    9  3d6.4s.(6D).6p_5F*
 57343.828    7  3d6.4s.(6D).6p_5F*
 57546.481    3  3d6.4s.(6D).6p_5F*
 57572.513    5  3d6.4s.(6D).6p_5F*
 56720.409    5  3d6.4s.(6D).5d_5S      
 56726.892    7  3d6.4s.(6D).5d_5F      
 56761.878   11  3d6.4s.(6D).5d_5F
 56952.213    5  3d6.4s.(6D).5d_5F
 57077.843    3  3d6.4s.(6D).5d_5F
 57125.250    9  3d6.4s.(6D).5d_5F
 56732.335    9  3d6.4s.(6D).6p_5D*     
 57168.531    7  3d6.4s.(6D).6p_5D*
 57401.144    3  3d6.4s.(6D).6p_5D*
 57415.757    5  3d6.4s.(6D).6p_5D*
 57610.719    1  3d6.4s.(6D).6p_5D*
 56748.901   13  3d6.4s.(6D<9/2>).4f_2[11/2]*
 56751.099   11  3d6.4s.(6D<9/2>).4f_2[11/2]*
 56754.132   15  3d6.4s.(6D<9/2>).4f_2[13/2]*
 56756.503   13  3d6.4s.(6D<9/2>).4f_2[13/2]*
 56754.726   11  3d6.4s.(6D<9/2>).4f_2[9/2]* 
 56754.932    9  3d6.4s.(6D<9/2>).4f_2[9/2]*
 56764.767    9  3d6.4s.(6D<9/2>).4f_2[7/2]* 
 56766.053    7  3d6.4s.(6D<9/2>).4f_2[7/2]* 
 56777.262    7  3d6.4s.(6D<9/2>).4f_2[5/2]* 
 56779.538    5  3d6.4s.(6D<9/2>).4f_2[5/2]*
 56778.773   15  3d6.4s.(6D<9/2>).4f_2[15/2]*
 56778.791   17  3d6.4s.(6D<9/2>).4f_2[15/2]*
 56789.699    5  3d6.4s.(6D<9/2>).4f_2[3/2]* 
 56791.623    3  3d6.4s.(6D<9/2>).4f_2[3/2]*
 56808.267    9  3d7.(4F).6s_3F      
 57218.827    7  3d7.(4F).6s_3F
 57790.909    5  3d7.(4F).6s_3F
 56871.345    7  3d6.4s.(6D).6p_5P*     
 57437.194    5  3d6.4s.(6D).6p_5P*
 57741.472    3  3d6.4s.(6D).6p_5P*
 56951.301    9  3d7.(2H).4p_v1G*   
 57027.513   15  3d6.(1I).4s.4p.(3P*)_x3I*   
 57070.171   13  3d6.(1I).4s.4p.(3P*)_x3I*
 57104.217   11  3d6.(1I).4s.4p.(3P*)_x3I*
 57074.915    5  3d6.(3D).4s.4p.(1P*)_3D*     
 57346.148    7  3d6.(3D).4s.4p.(1P*)_3D*
 57145.784   11  3d6.4s.(6D<7/2>).4f_2[9/2]* 
 57147.171    9  3d6.4s.(6D<7/2>).4f_2[9/2]*
 57146.772   13  3d6.4s.(6D<7/2>).4f_2[11/2]*
 57147.784   11  3d6.4s.(6D<7/2>).4f_2[11/2]*
 57149.113    9  3d6.4s.(6D<7/2>).4f_2[7/2]* 
 57149.702    7  3d6.4s.(6D<7/2>).4f_2[7/2]*
 57149.845    7  3d6.4s.(6D<7/2>).4f_2[5/2]* 
 57152.415    5  3d6.4s.(6D<7/2>).4f_2[5/2]* 
 57152.267    3  3d6.4s.(6D<7/2>).4f_2[3/2]* 
 57154.269    5  3d6.4s.(6D<7/2>).4f_2[3/2]*
 57152.335   15  3d6.4s.(6D<7/2>).4f_2[13/2]*
 57153.171   13  3d6.4s.(6D<7/2>).4f_2[13/2]*
 57154.996    3  3d6.4s.(6D<7/2>).4f_2[1/2]* 
 57156.059    1  3d6.4s.(6D<7/2>).4f_2[1/2]* 
 57160.142    7  3d6.4s.(6D).5d_5P      
 57403.134    5  3d6.4s.(6D).5d_5P 
 57421.469    3  3d6.4s.(6D<5/2>).4f_2[1/2]* 
 57426.437    3  3d6.4s.(6D<5/2>).4f_2[3/2]* 
 57427.576    5  3d6.4s.(6D<5/2>).4f_2[3/2]*
 57428.064   13  3d6.4s.(6D<5/2>).4f_2[11/2]*
 57429.097   11  3d6.4s.(6D<5/2>).4f_2[11/2]*
 57431.116    5  3d6.4s.(6D<5/2>).4f_2[5/2]* 
 57432.848    7  3d6.4s.(6D<5/2>).4f_2[5/2]*
 57437.801    9  3d6.4s.(6D<5/2>).4f_2[7/2]* 
 57439.486    7  3d6.4s.(6D<5/2>).4f_2[7/2]* 
 57437.928   11  3d6.4s.(6D<5/2>).4f_2[9/2]* 
 57439.223    9  3d6.4s.(6D<5/2>).4f_2[9/2]*
 57438.267    7  3d6.4s.(6D).5d_7S      
 57550.010    9  3d6.(3D).4s.4p.(3P*)_t3F*   
 57641.001    7  3d6.(3D).4s.4p.(3P*)_t3F*
 57708.741    5  3d6.(3D).4s.4p.(3P*)_t3F*
 57565.305    7  3d6.(3P2).4s.4p.(1P*)_3D*     
 57617.009    3  3d6.4s.(6D<3/2>).4f_2[3/2]* 
 57618.806    5  3d6.4s.(6D<3/2>).4f_2[3/2]*
 57620.792   11  3d6.4s.(6D<3/2>).4f_2[9/2]* 
 57621.928    9  3d6.4s.(6D<3/2>).4f_2[9/2]*
 57631.095    7  3d6.4s.(6D<3/2>).4f_2[5/2]* 
 57632.654    5  3d6.4s.(6D<3/2>).4f_2[5/2]*
 57641.219    9  3d6.4s.(6D<3/2>).4f_2[7/2]* 
 57642.383    7  3d6.4s.(6D<3/2>).4f_2[7/2]*
 57660.953   11  3d6.4s.(4D).4d_5F      
 58118.875    9  3d6.4s.(4D).4d_5F
 58132.081    7  3d6.4s.(4D).4d_5F
 58363.424    3  3d6.4s.(4D).4d_5F
 58512.387    5  3d6.4s.(4D).4d_5F
 57697.493    9  3d6.(5D).4s.(4D).4d_i5D    
 57813.942    7  3d6.(5D).4s.(4D).4d_i5D
 57974.137    5  3d6.(5D).4s.(4D).4d_i5D
 57743.052    7  3d6.4s.(6D<1/2>).4f_2[5/2]* 
 57743.370    5  3d6.4s.(6D<1/2>).4f_2[5/2]*
 57743.133    9  3d6.4s.(6D<1/2>).4f_2[7/2]* 
 57744.932    7  3d6.4s.(6D<1/2>).4f_2[7/2]*
 57763.824    9  3d6.4s.(4D).5p_5D*     
 58033.506    7  3d6.4s.(4D).5p_5D*
 58330.568    5  3d6.4s.(4D).5p_5D*
 58520.003    3  3d6.4s.(4D).5p_5D*
 57897.051   11  3d6.(5D).4s.(6D).7s_7D      
 57917.254    9  3d6.4s.(4D).5p_3F*     
 58961.996    5  3d6.4s.(4D).5p_3F*
 59089.628    7  3d6.4s.(4D).5p_3F*
 57999.461    5  3d6.4s.(4D).5p_3P*     
 59343.807    3  3d6.4s.(4D).5p_3P* 
 58001.938   13  3d6.(5D).4s.(4D).4d_g5G    
 58271.462   11  3d6.(5D).4s.(4D).4d_g5G 
 58520.163    9  3d6.(5D).4s.(4D).4d_g5G 
 58710.047    7  3d6.(5D).4s.(4D).4d_g5G 
 58824.845    5  3d6.(5D).4s.(4D).4d_g5G 
 58018.561   11  3d6.(3H).4s.4p.(1P*)_3G*     
 58334.613    9  3d6.(3H).4s.4p.(1P*)_3G*
 58600.344    7  3d6.(3H).4s.4p.(1P*)_3G*
 58132.249    5  3d6.4s.(4D).5p_3D*     
 58276.260    7  3d6.4s.(4D).5p_3D*
 58394.864    3  3d6.4s.(4D).5p_3D*
 58147.007   11  3d6.4s.(4D).5p_5F*     
 58481.301    9  3d6.4s.(4D).5p_5F*
 58757.628    7  3d6.4s.(4D).5p_5F*
 58906.116    5  3d6.4s.(4D).5p_5F*
 58977.502    3  3d6.4s.(4D).5p_5F*
 58197.914    9  3d6.4s.(6D).7s_7D      
 58480.308    7  3d6.4s.(6D).7s_7D
 58683.804    5  3d6.4s.(6D).7s_7D
 58759.579    3  3d6.4s.(6D).7s_7D
 58481.855    7  3d6.4s.(4D).4d_5P      
 58213.124    5  3d6.4s.(4D).4d_5P
 58283.204    3  3d6.4s.(4D).4d_i5D    
 58321.383    9  3d6.4s.(6D).7s_5D      
 58762.456    7  3d6.4s.(6D).7s_5D
 59035.762    5  3d6.4s.(6D).7s_5D
 59113.339    3  3d6.4s.(6D).7s_5D
 58492.235   11  3d6.4s.(4D).4d_3G      
 58965.275    9  3d6.4s.(4D).4d_3G
 58591.206   11  3d7.(4F).5d_5F      
 58592.074    9  3d7.(4F).5d_5F 
 58661.978    9  58661e  
 58674.459    7  3d6.4s.(4D).5p_5P*     
 59105.296    5  3d6.4s.(4D).5p_5P*
 59360.198    3  3d6.4s.(4D).5p_5P*
 58682.322    7  3d6.4s.(4D).4d_3D      
 58965.752    3  3d6.4s.(4D).4d_3D 
 58979.823    5  3d6.4s.(4D).4d_3D 
 58700.540   13  3d7.(4F<9/2>).4f_2[11/2]*
 58700.834   11  3d7.(4F<9/2>).4f_2[11/2]*
 58702.681   13  3d7.(4F<9/2>).4f_2[13/2]*
 58706.068   15  3d7.(4F<9/2>).4f_2[13/2]*
 58704.913    9  3d7.(4F<9/2>).4f_2[9/2]* 
 58707.383   11  3d7.(4F<9/2>).4f_2[9/2]* 
 58710.811   15  3d7.(4F).5d_5H      
 58711.247    9  3d7.(4F<9/2>).4f_2[7/2]* 
 58714.648    7  3d7.(4F<9/2>).4f_2[7/2]*
 58718.498   17  3d7.(4F<9/2>).4f_2[15/2]*
 58722.564   15  3d7.(4F<9/2>).4f_2[15/2]*
 58719.040    7  3d7.(4F<9/2>).4f_2[5/2]* 
 58723.289    5  3d7.(4F<9/2>).4f_2[5/2]*
 58792.255   15  3d6.(3H).4s.4p.(1P*)_3I*     
 58946.732   13  3d6.(3H).4s.4p.(1P*)_3I*
 59085.827   11  3d6.(3H).4s.4p.(1P*)_3I*
 58812.015   11  3d7.(4F).5d_3G      
 59204.233    9  3d7.(4F).5d_3G
 58831.230    7  58831e  
 58906.436    9  58906e  
 58921.963    5  3d6.4s.(4D).4d_5S      
 59077.084    3  59077e  
 59124.074   13  3d6.4s.(6D<9/2>).6d_2[11/2] 
 59182.72    11  3d6.4s.(6D<9/2>).6d_2[11/2]
 59126.75    11  3d6.4s.(6D<9/2>).6d_2[9/2]  
 59133.61     9  3d6.4s.(6D<9/2>).6d_2[9/2]
 59146.37    13  3d6.4s.(6D<9/2>).6d_2[13/2] 
 59179.134   15  3d6.4s.(6D<9/2>).6d_2[13/2]
 59154.662    3  3d6.4s.(4D).4d_3S      
 59217.204    7  3d6.4s.(6D<9/2>).6d_2[5/2]  
 59235.48     9  3d6.4s.(6D<9/2>).6d_2[7/2]  
 59251.39     7  3d6.4s.(6D<9/2>).6d_2[7/2] 
 59262.299    9  3d7.(4F<7/2>).4f_2[9/2]* 
 59264.884   11  3d7.(4F<7/2>).4f_2[9/2]*
 59263.923   13  3d7.(4F<7/2>).4f_2[11/2]*
 59265.025   11  3d7.(4F<7/2>).4f_2[11/2]*
 59265.477    7  3d7.(4F<7/2>).4f_2[7/2]* 
 59265.744    9  3d7.(4F<7/2>).4f_2[7/2]*
 59270.158    5  3d7.(4F<7/2>).4f_2[5/2]* 
 59271.318    7  3d7.(4F<7/2>).4f_2[5/2]*
 59271.890   15  3d7.(4F<7/2>).4f_2[13/2]*
 59273.135   13  3d7.(4F<7/2>).4f_2[13/2]*
 59274.562   13  3d6.4s.(6D<9/2>).5f_2[11/2]*
 59275.884   13  3d6.4s.(6D<9/2>).5f_2[13/2]*
 59277.458   15  3d6.4s.(6D<9/2>).5f_2[13/2]*
 59276.239    5  3d7.(4F<7/2>).4f_2[3/2]* 
 59290.37    15  3d6.4s.(6D<9/2>).5f_2[15/2]*
 59290.425   17  3d6.4s.(6D<9/2>).5f_2[15/2]*
 59301.904    9  3d6.4s.(4D).4d_3F      
 59522.714    7  3d6.4s.(4D).4d_3F 
 59815.558    5  3d6.4s.(4D).4d_3F 
 59329.646   13  3d6.4s.(6D<9/2>).5g_2[13/2] 
 59329.649   15  3d6.4s.(6D<9/2>).5g_2[13/2]
 59329.895   11  3d6.4s.(6D<9/2>).5g_2[11/2] 
 59329.896   13  3d6.4s.(6D<9/2>).5g_2[11/2]
 59331.273   17  3d6.4s.(6D<9/2>).5g_2[15/2] 
 59331.274   15  3d6.4s.(6D<9/2>).5g_2[15/2]
 59331.290   11  3d6.4s.(6D<9/2>).5g_2[9/2]  
 59331.291    9  3d6.4s.(6D<9/2>).5g_2[9/2] 
 59333.259    9  3d6.4s.(6D<9/2>).5g_2[7/2]  
 59333.261    7  3d6.4s.(6D<9/2>).5g_2[7/2]
 59335.320    7  3d6.4s.(6D<9/2>).5g_2[5/2]  
 59335.321    5  3d6.4s.(6D<9/2>).5g_2[5/2]
 59335.72    17  3d6.4s.(6D<9/2>).5g_2[17/2] 
 59335.73    19  3d6.4s.(6D<9/2>).5g_2[17/2]
 59337.082    3  3d6.4s.(6D<9/2>).5g_2[3/2]  
 59337.085    5  3d6.4s.(6D<9/2>).5g_2[3/2]
 59338.259    3  3d6.4s.(6D<9/2>).5g_2[1/2]  
 59338.274    1  3d6.4s.(6D<9/2>).5g_2[1/2] 
 59390.684    7  59390e  
 59463.514   11  3d6.4s.(6D<7/2>).6d_2[9/2]  
 59532.84     9  3d6.4s.(6D<7/2>).6d_2[9/2] 
 59475.63     9  3d6.4s.(6D<7/2>).6d_2[7/2]  
 59520.304    7  3d6.4s.(6D<7/2>).6d_2[7/2]
 59500.628    3  3d6.(3P2).4s.4p.(1P*)_3S*     
 59514.13     5  3d6.4s.(6D<7/2>).6d_2[5/2]  
 59538.594    7  3d6.4s.(6D<7/2>).6d_2[5/2]
 59523.88    11  3d6.(5D).4p2.(3P)_7F      
 59664.704    9  3d6.(5D).4p2.(3P)_7F 
 60533.113    5  3d6.(5D).4p2.(3P)_7F 
 59541.124   13  3d6.4s.(6D<7/2>).6d_2[11/2] 
 59556.32    11  3d6.4s.(6D<7/2>).6d_2[11/2]
 59569.374    5  3d6.4s.(6D<7/2>).6d_2[3/2]  
 59590.85     3  3d6.4s.(6D<7/2>).6d_2[3/2]
 59663.964   11  3d6.4s.(6D<7/2>).5f_2[11/2]*
 59669.004   15  3d6.4s.(6D<7/2>).5f_2[13/2]*
 59670.084   13  3d6.4s.(6D<7/2>).5f_2[13/2]*
 59671.467    9  3d7.(4F<5/2>).4f_2[7/2]* 
 59671.962    7  3d7.(4F<5/2>).4f_2[7/2]*
 59671.600   11  3d7.(4F<5/2>).4f_2[9/2]* 
 59673.113    9  3d7.(4F<5/2>).4f_2[9/2]*
 59679.235    7  3d7.(4F<5/2>).4f_2[5/2]* 
 59680.306    5  3d7.(4F<5/2>).4f_2[5/2]*
 59682.173   11  3d7.(4F<5/2>).4f_2[11/2]*
 59687.418    5  3d7.(4F<5/2>).4f_2[3/2]* 
 59716.796   11  3d6.4s.(6D<7/2>).5g_2[11/2] 
 59716.797   13  3d6.4s.(6D<7/2>).5g_2[11/2]
 59716.940   11  3d6.4s.(6D<7/2>).5g_2[9/2]  
 59716.948    9  3d6.4s.(6D<7/2>).5g_2[9/2]
 59717.083   13  3d6.4s.(6D<7/2>).5g_2[13/2] 
 59717.088   15  3d6.4s.(6D<7/2>).5g_2[13/2]
 59717.321    7  3d6.4s.(6D<7/2>).5g_2[7/2]  
 59717.329    9  3d6.4s.(6D<7/2>).5g_2[7/2]
 59717.763    5  3d6.4s.(6D<7/2>).5g_2[5/2]  
 59717.768    7  3d6.4s.(6D<7/2>).5g_2[5/2]
 59717.944   15  3d6.4s.(6D<7/2>).5g_2[15/2] 
 59717.945   17  3d6.4s.(6D<7/2>).5g_2[15/2]
 59718.134    5  3d6.4s.(6D<7/2>).5g_2[3/2]  
 59718.134    3  3d6.4s.(6D<7/2>).5g_2[3/2]
 59718.724   11  3d6.4s.(6D<5/2>).6d_2[9/2]  
 59725.904    9  3d6.4s.(6D<5/2>).6d_2[9/2]
 59729.17     3  3d6.4s.(6D<5/2>).6d_2[1/2]  
 59766.92     3  3d6.4s.(6D<5/2>).6d_2[3/2]  
 59780.484    5  3d6.4s.(6D<5/2>).6d_2[3/2]
 59820.664    7  3d6.4s.(6D<5/2>).6d_2[5/2]  
 59843.564    5  3d6.4s.(6D<5/2>).6d_2[5/2]
 59878.64     9  3d6.4s.(6D<5/2>).6d_2[7/2]  
 59886.70     7  3d6.4s.(6D<5/2>).6d_2[7/2]
 59947.023    9  3d7.(4F<3/2>).4f_2[7/2]* 
 59947.324    7  3d7.(4F<3/2>).4f_2[7/2]* 
 59947.766    5  3d7.(4F<3/2>).4f_2[5/2]* 
 59952.533    7  3d7.(4F<3/2>).4f_2[5/2]*
 59960.482   11  3d7.(4F<3/2>).4f_2[9/2]* 
 59960.956    9  3d7.(4F<3/2>).4f_2[9/2]*
 59968.52     3  3d6.4s.(6D<3/2>).6d_2[1/2]  
 59998.128    5  3d6.4s.(6D<5/2>).5g_2[3/2]  
 59998.132    3  3d6.4s.(6D<5/2>).5g_2[3/2]
 59999.210   13  3d6.4s.(6D<5/2>).5g_2[13/2] 
 59999.215   15  3d6.4s.(6D<5/2>).5g_2[13/2]
 59999.394    5  3d6.4s.(6D<5/2>).5g_2[5/2]  
 59999.398    7  3d6.4s.(6D<5/2>).5g_2[5/2]
 59999.79     3  3d6.4s.(6D<3/2>).6d_2[3/2]  
 60035.04     5  3d6.4s.(6D<3/2>).6d_2[3/2]
 60000.71     7  3d6.4s.(6D<5/2>).5g_2[7/2]  
 60000.715    9  3d6.4s.(6D<5/2>).5g_2[7/2]
 60001.341   11  3d6.4s.(6D<5/2>).5g_2[11/2] 
 60001.347   13  3d6.4s.(6D<5/2>).5g_2[11/2]
 60001.563    9  3d6.4s.(6D<5/2>).5g_2[9/2]  
 60001.579   11  3d6.4s.(6D<5/2>).5g_2[9/2]
 60075.924    7  3d6.4s.(6D<3/2>).6d_2[5/2]  
 60085.504    5  3d6.4s.(6D<3/2>).6d_2[5/2]
 60095.599    9  3d6.(3F2).4s.4p.(1P*)_3F*     
 60172.464    7  3d6.(3F2).4s.4p.(1P*)_3F*
 60097.024    7  3d6.4s.(6D<3/2>).6d_2[7/2]  
 60128.60     5  3d6.4s.(6D<1/2>).6d_2[3/2]  
 60178.254    3  3d6.4s.(6D<1/2>).6d_2[3/2]
 60192.13     5  3d6.4s.(6D<3/2>).5g_2[5/2]  
 60192.14     7  3d6.4s.(6D<3/2>).5g_2[5/2]
 60193.670   11  3d6.4s.(6D<3/2>).5g_2[11/2] 
 60193.674   13  3d6.4s.(6D<3/2>).5g_2[11/2]
 60196.433    9  3d6.4s.(6D<3/2>).5g_2[7/2]  
 60196.434    7  3d6.4s.(6D<3/2>).5g_2[7/2]
 60197.941    9  3d6.4s.(6D<3/2>).5g_2[9/2]  
 60197.944   11  3d6.4s.(6D<3/2>).5g_2[9/2]
 60215.243    3  3d6.4s.(4D).4d_3P      
 60254.170   11  3d6.(3F2).4s.4p.(1P*)_r3G*   
 60466.164    9  3d6.(3F2).4s.4p.(1P*)_r3G*
 60563.614    7  3d6.(3F2).4s.4p.(1P*)_r3G*
 60309.69    11  3d6.4s.(6D<1/2>).5g_2[9/2]  
 60309.704    9  3d6.4s.(6D<1/2>).5g_2[9/2]
 60309.715    9  3d6.4s.(6D<1/2>).5g_2[7/2]  
 60309.721    7  3d6.4s.(6D<1/2>).5g_2[7/2]
 60365.637   13  3d6.(3H).4s.4p.(1P*)_t3H*   
 60549.116   11  3d6.(3H).4s.4p.(1P*)_t3H* 
 60757.596    9  3d6.(3H).4s.4p.(1P*)_t3H*
 60806.670    7  3d6.(3F2).4s.4p.(1P*)_3D*     
 61724.829    9  61724e  
 62079.322   13  62079e  
 62192.735   11  62192e  
 62377.66     9  62377e  
 63035.756   13  3d6.(3G).4s.4p.(1P*)_3H*
 63737.704   10  3d6.(5D).4s_6D   
