# Extracted from fe2.en.ls.txt from NORAD
#E[cm⁻¹]  g cfg              term                 
 90874.6  10 3d6.(1D).4s     f2D        
 99521.9  10 Eqv_st(0S).0s   g2D        
106162.1  10 3d6.(3P).4d     h2D        
110043.5  10 3d6.(3F).4d     i2D        
111229.7  10 3d6.(3G).4d     j2D        
114456.0  10 3d6.(1D).5s     k2D        
114857.7  10 3d6.(3D).5s     l2D        
119372.3  10 3d6.(1G).4d     m2D        
120814.2  10 3d6.(3D).4d     n2D        
122135.4  10 3d6.(1S).4d     o2D        
123013.3  10 3d6.(1D).4d     p2D        
124685.7  10 3d6.(3P).5d     q2D        
128365.2  10 3d6.(3F).5d     r2D        
128754.8  10 3d6.(3G).5d     s2D        
 64066.8  10 3d6.(3P).4p     z2D*       
 68966.6  10 3d6.(3F).4p     y2D*       
 77201.3  10 3d6.(3D).4p     x2D*       
 83928.2  10 3d6.(1D).4p     w2D*       
 89462.3  10 3d6.(1F).4p     v2D*       
 98016.3  10 3d6.(3P).4p     u2D*       
 99689.8  10 3d6.(3F).4p     t2D*       
101629.9  10 3d5.4s.(3P).4p  s2D*       
103190.4  10 3d5.4s.(3D).4p  r2D*       
107379.1  10 3d6.(1D).4p     q2D*       
109106.3  10 3d6.(3P).5p     p2D*       
114380.3  10 3d6.(3F).5p     o2D*       
115119.9  10 3d5.4s.(3D).4p  n2D*       
121032.6  10 3d5.4s.(3F).4p  m2D*       
121778.8  10 3d6.(3P).4f     l2D*       
122425.1  10 3d5.4s.(1D).4p  k2D*       
124801.0  10 3d6.(1D).5p     j2D*       
124968.9  10 3d6.(3D).5p     i2D*       
125613.0  10 3d6.(3P).6p     h2D*       
126371.3  10 3d6.(3H).4f     g2D*       
126463.5  10 Eqv_st(0S).0s   f2D*       
126597.4  10 3d6.(3F).4f     e2D*       
126721.4  10 3d6.(3G).4f     d2D*       
 31572.5  14 3d6.(3F).4s     a2F        
 43238.7  14 3d7.(5D).0s     b2F         # Identified in NIST
 53504.6  14 3d6.(1F).4s     c2F        
 63488.5  14 3d6.(3F).4s     d2F        
 75733.0  14 3d6.(3P).0s     e2F        
 84897.2  14 3d5.4s2(5G).0s  f2F         # Identified in NIST
103908.1  14 3d6.(3F).5s     g2F        
105312.7  14 3d6.(3P).4d     h2F        
106625.2  14 3d6.(3H).4d     i2F        
108230.6  14 3d6.(3F).4d     j2F        
112625.6  14 3d6.(3G).4d     k2F        
118683.1  14 3d6.(1G).4d     l2F        
120239.2  14 3d6.(3D).4d     m2F        
121503.4  14 3d6.(1F).5s     n2F        
123224.0  14 3d6.(1D).4d     o2F        
123548.9  14 3d6.(3P).5d     p2F        
126256.1  14 3d6.(3F).6s     q2F        
127250.3  14 3d6.(3H).5d     r2F        
127765.0  14 3d6.(3F).5d     s2F        
129294.7  14 3d6.(3G).5d     t2F        
 65715.1  14 3d6.(3F).4p     z2F*       
 71374.3  14 3d6.(3G).4p     y2F*       
 75447.7  14 3d6.(1G).4p     x2F*       
 78754.1  14 3d6.(3D).4p     w2F*       
 83072.2  14 3d6.(1D).4p     v2F*       
 91867.7  14 3d6.(1F).4p     u2F*       
 94403.7  14 3d6.(3F).4p     t2F*       
100964.9  14 3d5.4s.(3G).4p  s2F*       
103511.9  14 3d6.(1G).4p     r2F*       
106244.4  14 3d5.4s.(3D).4p  q2F*       
110377.1  14 3d6.(1D).4p     p2F*       
113751.5  14 3d6.(3F).5p     o2F*       
114524.1  14 3d5.4s.(3D).4p  n2F*       
114986.1  14 3d6.(3G).5p     m2F*       
119786.0  14 3d5.4s.(3F).4p  l2F*       
121768.9  14 3d6.(3P).4f     k2F*       
121954.4  14 3d5.4s.(3G).4p  j2F*       
124228.1  14 3d6.(1G).5p     i2F*       
124828.4  14 3d6.(1D).5p     h2F*       
125186.1  14 3d6.(3D).5p     g2F*       
126404.2  14 3d6.(3H).4f     f2F*       
126459.1  14 3d5.4s.(1D).4p  e2F*       
126541.4  14 3d6.(3F).4f     d2F*       
126738.9  14 3d6.(3G).4f     c2F*       
128445.3  14 3d6.(1D).5p     b2F*       
 26362.2  18 3d7.(5D).0s     a2G         # Identified in NIST
 34192.0  18 3d6.(3G).4s     b2G        
 38139.2  18 3d6.(1G).4s     c2G        
 68795.4  18 3d6.(1G).4s     d2G        
 80367.2  18 3d5.4s2(3P).0s  e2G         # Identified in NIST
103952.0  18 3d6.(3G).5s     f2G        
106945.6  18 3d6.(3H).0s     g2G        
107258.4  18 3d6.(3H).4d     h2G        
109007.6  18 3d6.(3F).4d     i2G        
111325.2  18 3d6.(3G).4d     j2G        
114290.3  18 3d6.(1G).5s     k2G        
117596.7  18 3d6.(1I).4d     l2G        
118820.3  18 3d6.(1G).4d     m2G        
121369.5  18 3d6.(3D).4d     n2G        
122876.2  18 3d6.(1D).4d     o2G        
126267.1  18 3d6.(3G).6s     p2G        
127638.8  18 3d6.(3H).5d     q2G        
128077.7  18 3d6.(3F).5d     r2G        
 62668.8  18 3d6.(3H).4p     z2G*       
 66604.0  18 3d6.(3F).4p     y2G*       
 71549.8  18 3d6.(3G).4p     x2G*       
 75717.7  18 3d6.(1G).4p     w2G*       
 88588.7  18 3d6.(1F).4p     v2G*       
 97624.5  18 3d6.(3F).4p     u2G*       
 99223.4  18 3d5.4s.(3G).4p  t2G*       
106364.0  18 3d6.(1G).4p     s2G*       
109295.1  18 3d5.4s.(3F).4p  r2G*       
113359.7  18 3d6.(3H).5p     q2G*       
113944.6  18 3d6.(3F).5p     p2G*       
114683.2  18 3d5.4s.(3H).4p  o2G*       
114925.7  18 3d6.(3G).5p     n2G*       
118409.9  18 3d5.4s.(1F).4p  m2G*       
120740.7  18 3d5.4s.(3F).4p  l2G*       
121734.9  18 3d6.(3P).4f     k2G*       
124488.2  18 3d6.(1G).5p     j2G*       
125065.4  18 3d5.4s.(3F).4p  i2G*       
126472.3  18 3d6.(3H).4f     h2G*       
126543.6  18 3d6.(3F).4f     g2G*       
126696.1  18 3d6.(3G).4f     f2G*       
 28096.0  22 3d7.(5D).0s     a2H         # Identified in NIST
 30988.7  22 3d6.(3H).4s     b2H        
 78948.3  22 3d6.(3P).0s     c2H        
103799.4  22 3d6.(3H).5s     d2H        
108257.0  22 3d6.(3F).4d     e2H        
108490.7  22 3d6.(3H).4d     f2H        
111470.1  22 3d6.(3G).4d     g2H        
118273.8  22 3d6.(1G).4d     h2H        
120093.2  22 3d6.(1I).4d     i2H        
126216.6  22 3d6.(3H).6s     j2H        
127826.4  22 3d6.(3F).5d     k2H        
127898.8  22 3d6.(3G).5d     l2H        
129123.5  22 3d6.(3H).5d     m2H        
 65960.9  22 3d6.(3H).4p     z2H*       
 68050.3  22 3d6.(3G).4p     y2H*       
 74296.6  22 3d6.(1G).4p     x2H*       
 75748.4  22 3d6.(1I).4p     w2H*       
 94392.8  22 3d5.4s.(3G).4p  v2H*       
103030.2  22 3d6.(1G).4p     u2H*       
105611.2  22 3d5.4s.(3I).4p  t2H*       
113771.3  22 3d6.(3G).5p     s2H*       
114267.3  22 3d6.(3H).5p     r2H*       
117186.3  22 3d5.4s.(1I).4p  q2H*       
119758.5  22 3d5.4s.(3H).4p  p2H*       
124089.9  22 3d6.(1I).5p     o2H*       
124559.5  22 3d6.(1G).5p     n2H*       
126522.7  22 3d6.(3H).4f     m2H*       
126555.7  22 3d6.(3F).4f     l2H*       
126647.8  22 3d6.(3G).4f     k2H*       
127273.3  22 3d5.4s.(3G).4p  j2H*       
 36230.9  26 3d6.(1I).4s     a2I        
 67727.7  26 3d5.4s.(3I).0s  b2I        
106675.6  26 3d6.(3H).4d     c2I        
109687.9  26 3d6.(3G).4d     d2I        
114211.3  26 3d6.(1I).5s     e2I        
117696.6  26 3d6.(1I).4d     f2I        
118618.4  26 3d6.(1G).4d     g2I        
127500.5  26 3d6.(3H).5d     h2I        
128210.5  26 3d6.(3G).5d     i2I        
 62224.4  26 3d6.(3H).4p     z2I*       
 75142.6  26 3d6.(1I).4p     y2I*       
106717.3  26 3d5.4s.(3I).4p  x2I*       
113518.9  26 3d6.(3H).5p     w2I*       
115376.7  26 3d5.4s.(1I).4p  v2I*       
123303.0  26 3d6.(1I).5p     u2I*       
126382.3  26 3d6.(3H).4f     t2I*       
126531.5  26 3d6.(3F).4f     s2I*       
126613.8  26 3d6.(3G).4f     r2I*       
126944.1  26 3d5.4s.(1H).4p  q2I*       
106342.0  30 3d6.(3H).4d     a2K        
117637.3  30 3d6.(1I).4d     b2K        
127375.4  30 3d6.(3H).5d     c2K        
 72117.2  30 3d6.(1I).4p     z2K*       
102860.1  30 3d5.4s.(3I).4p  y2K*       
122745.6  30 3d6.(1I).5p     x2K*       
124619.9  30 3d5.4s.(1I).4p  w2K*       
126465.7  30 3d6.(3H).4f     v2K*       
126764.2  30 3d6.(3G).4f     u2K*       
117064.5  34 3d6.(1I).4d     a2L        
126530.4  34 3d6.(3H).4f     z2L*       
