#E[cm⁻¹]         g  configuration
  34928.4403     4  3p6.37d_2D 
  34928.8634     2  3p6.39s_2S 
  34932.6961     6  3p6.38d_2D 
  34932.6969     4  3p6.38d_2D 
  34933.0874     2  3p6.40s_2S 
  34936.6273     6  3p6.39d_2D 
  34936.6279     4  3p6.39d_2D 
  34936.9892     2  3p6.41s_2S 
  34940.2653     6  3p6.40d_2D 
  34940.2660     4  3p6.40d_2D 
  34940.6009     2  3p6.42s_2S 
  34943.6386     6  3p6.41d_2D 
  34943.6393     4  3p6.41d_2D 
  34943.9500     2  3p6.43s_2S 
  34946.7726     6  3p6.42d_2D 
  34946.7730     4  3p6.42d_2D 
  34947.0620     2  3p6.44s_2S 
  34949.6886     6  3p6.43d_2D 
  34949.6892     4  3p6.43d_2D 
  34949.9585     2  3p6.45s_2S 
  34952.4071     6  3p6.44d_2D 
  34952.4077     4  3p6.44d_2D 
  34952.6589     2  3p6.46s_2S 
  34954.9453     6  3p6.45d_2D 
  34954.9458     4  3p6.45d_2D 
  34957.3187     6  3p6.46d_2D 
  34957.3193     4  3p6.46d_2D 
  35009.8140     1  3p6_1S
 151008          4  3p5.4s2_2P*
 153085          2  3p5.4s2_2P*
 159367          2  3p5.3d.(3P*).4s_4P*
 159678          4  3p5.3d.(3P*).4s_4P*
 160245          6  3p5.3d.(3P*).4s_4P*
 161473          4  3p5.(2P*}.4s.4p.(3P*)_4S 
 162404          2  3p5.3d.(3P*).4s_2P*
 163006          4  3p5.3d.(3P*).4s_2P*
 164506          4  3p5.(2P*}.4s.4p.(3P*)_4D 
 164998          2  3p5.(2P*}.4s.4p.(3P*)_4D
 165213          8  3p5.3d.(3F*).4s_4F*
 165729          6  3p5.3d.(3F*).4s_4F*
 166221          4  3p5.3d.(3F*).4s_4F*
 166506          4  3p5.(2P*).4s.4p.(3P*)_2D 
 166950          6  3p5.(2P*).4s.4p.(3P*)_2D
 167528          8  3p5.3d.(3F*).4s_2F*
 167964          6  3p5.3d.(3F*).4s_2F*
 168378          2  3p5.(2P*).4s.4p.(3P*)_2P 
 168515          4  3p5.(2P*).4s.4p.(3P*)_2P
 172623          4  3p5.3d.(3D*).4s_4D*
 172800          2  3p5.3d.(3D*).4s_4D*
 172072          8  3p5.3d.(3D*).4s_4D*
 173198          4  3p5.3d.(1D*).4s_2D*
 173371          6  3p5.3d.(1D*).4s_2D*
 174319          8  3p5.3d.(1F*).4s_2F*
 174577          6  3p5.3d.(1F*).4s_2F*
 175815          6  3p5.(2P*).4s.4p.(1P*)_2D 
 177775          4  3p5.(2P*).4s.4p.(1P*)_2D
 176278          2  3p5.(2P*).4s.4p.(1P*)_2S 
 179887          4  3p5.3d.(3D*).4s_2D*
 179549          6  3p5.3d.(3D*).4s_2D*
 180315          4  3p5.(2P*).4s.4p.(1P*)_2P 
 184347          4  3p5.4s.(1P*).5s_2P*
 185153          2  3p5.4s.(1P*).5s_2P*
 193072          6  3p5.4s.(1P*).6s_2P*
 193756          4  3p5.4s.(1P*).5d_2D*
 193946          2  3p5.4s.(1P*).5d_2P*
 194075          4  3p5.4s.(1P*).5d_2P*
 196318          6  3p5.4s.(1P*).7s_2P*
 196361          4  3p5.4s.(1P*).6d_2P*
 196727          2  3p5.4s.(1P*).6d_2P*
 196831          4  3p5.4s.(1P*).6d_2D*
 197888          2  3p5.4s.(1P*).8s_2P*
 197952          4  3p5.4s.(1P*).8s_2P*
 198051          6  3p5.4s.(1P*).7d_2P*
 198900          6  3p5.4s.(1P*).8d_2P*
 198900.001      6  3p5.4s.(1P*).9s_2P*
 199567          6  3p5.4s.(1P*).10s_2P*
 199980          6  3p5.4s.(1P*).10d_2P*
 199980.001      6  3p5.4s.(1P*).11s_2P*
 200270          6  3p5.4s.(1P*).11d_2P*
 200270.001      6  3p5.4s.(1P*).12s_2P*
 200490          6  3p5.4s.(1P*).12d_2P*
 200490.001      6  3p5.4s.(1P*).13s_2P*
 200660          6  3p5.4s.(1P*).13d_2P*
 200660.001      6  3p5.4s.(1P*).14s_2P*
