#E[cm⁻¹]      g  configuration
  48382.781   7  3p6.4s.11f_3F*
  48382.801   9  3p6.4s.11f_3F*
  48384.039   7  3p6.4s.11f_1F*    
  48394.3     9  3p6.4s.11g_1G     
  48398.6    11  3p6.4s.11h_1H*    
  48404.57    3  3p6.4s.13p_3P*    
  48404.95    5  3p6.4s.13p_3P*
  48422.09    3  3p6.4s.13p_1P*    
  48433.01    3  3p6.4s.12d_3D     
  48433.46    5  3p6.4s.12d_3D
  48434.47    7  3p6.4s.12d_3D
  48451.73    5  3p6.4s.12d_1D     
  48484.30    3  3p6.4s.14s_3S     
  48499.14    1  3p6.4s.14s_1S     
  48524.093   1  3p6.3d2_3P     
  48537.623   3  3p6.3d2_3P
  48563.522   5  3p6.3d2_3P
  48531.04    7  3p6.4s.12f_3F*    
  48531.04    9  3p6.4s.12f_3F*
  48532.139   7  3p6.4s.12f_1F*    
  48540.1     9  3p6.4s.12g_1G     
  48544.2    11  3p6.4s.12h_1H*    
  48548.30    3  3p6.4s.14p_3P*    
  48548.51    5  3p6.4s.14p_3P*
  48561.10    3  3p6.4s.14p_1P*    
  48568.66    3  3p6.4s.13d_3D     
  48568.95    5  3p6.4s.13d_3D
  48569.51    7  3p6.4s.13d_3D
  48578.32    5  3p6.4s.13d_1D     
  48609.75    3  3p6.4s.15s_3S     
  48621.53    1  3p6.4s.15s_1S     
  48646.38    9  3p6.4s.13f_3F*    
  48647.30    7  3p6.4s.13f_1F*    
  48653.7     9  3p6.4s.13g_1G     
  48657.0    11  3p6.4s.13h_1H*    
  48660.23    5  3p6.4s.15p_3P*    
  48669.83    3  3p6.4s.15p_1P*    
  48675.42    3  3p6.4s.14d_3D     
  48675.65    5  3p6.4s.14d_3D
  48676.09    7  3p6.4s.14d_3D
  48678.97    5  3p6.4s.14d_1D     
  48708.82    3  3p6.4s.16s_3S     
  48718.02    1  3p6.4s.16s_1S     
  48738.54    7  3p6.4s.14f_1F*    
  48743.4     9  3p6.4s.14g_1G     
  48747.4    11  3p6.4s.14h_1H*    
  48749.04    5  3p6.4s.16p_3P*    
  48756.45    3  3p6.4s.16p_1P*    
  48760.14    5  3p6.4s.15d_1D     
  48760.88    3  3p6.4s.15d_3D     
  48761.20    5  3p6.4s.15d_3D
  48761.31    7  3p6.4s.15d_3D
  48788.03    3  3p6.4s.17s_3S     
  48795.46    1  3p6.4s.17s_1S     
  48812.09    7  3p6.4s.15f_1F*    
