# Extracted from fe1.en.ls.txt from NORAD
#E[cm⁻¹]  g cfg              term                 
59985.7  15 3d7.(4F).7p      o3D* 
60149.2  15 3d7.(4F).5f      n3D* 
60748.4  15 3d6.4s.(2P).4p   m3D* 
61493.5  15 3d7.(4F).6f      l3D* 
61501.2  15 3d7.(4F).6h      k3D* 
61649.3  15 3d6.4s.(2F).4p   j3D* 
62304.5  15 3d7.(4F).7f      i3D* 
62309.9  15 3d7.(4F).7h      h3D* 
62368.1  15 3d7.(4F).9p      g3D* 
10544.7  21 3d7.(4F).4s      a3F  
24176.2  21 3d6.4s2(6D).0s   b3F  
39724.9  21 3d8.(4F).0s      c3F  
47306.7  21 3d7.(4F).5s      d3F  
52197.7  21 3d6.4s.(4F).4s   e3F  
54264.0  21 3d7.(4F).4d      f3F  
55741.1  21 3d7.(4F).6s      g3F  
58193.7  21 3d6.4s.(4D).4d   h3F  
58610.7  21 3d7.(4F).5d      i3F  
59259.3  21 3d7.(4F).7s      j3F  
60159.1  21 3d7.(4F).5g      k3F  
60644.1  21 3d7.(4F).6d      l3F  
60943.7  21 3d6.4s.(2F).4s   m3F  
60985.4  21 3d7.(4F).8s      n3F  
61500.1  21 3d7.(4F).6g      o3F  
61804.1  21 3d7.(4F).7d      p3F  
61986.2  21 3d7.(4F).9s      q3F  
62308.9  21 3d7.(4F).7g      r3F  
62309.9  21 3d7.(4F).7i      s3F  
62503.1  21 3d7.(4F).8d      t3F  
22056.1  27 3d7.(2G).4s      a3G  
29918.8  27 3d6.4s2(6D).0s   b3G  
53911.8  27 3d7.(4F).4d      c3G  
57673.5  27 3d6.4s.(4D).4d   d3G  
58460.4  27 3d7.(4F).5d      e3G  
60158.0  27 3d7.(4F).5g      f3G  
60535.5  27 3d7.(2G).5s      g3G  
60586.0  27 3d7.(4F).6d      h3G  
61500.1  27 3d7.(4F).6g      i3G  
61752.5  27 3d7.(4F).7d      j3G  
62308.9  27 3d7.(4F).7g      k3G  
62309.9  27 3d7.(4F).7i      l3G  
62471.3  27 3d7.(4F).8d      m3G  
29880.4  21 3d7.(4F).4p      z3F* 
35817.2  21 3d6.4s.(4D).4p   y3F* 
48793.6  21 3d7.(2G).4p      x3F* 
51639.1  21 3d7.(2D).4p      w3F* 
52699.2  21 3d7.(4F).5p      v3F* 
56265.6  21 3d6.4s.(4F).4p   u3F* 
57231.3  21 3d6.4s.(4D).5p   t3F* 
57675.7  21 3d7.(4F).4f      s3F* 
57819.5  21 3d7.(4F).6p      r3F* 
59614.8  21 3d6.4s.(4G).4p   q3F* 
60145.9  21 3d7.(4F).5f      p3F* 
60192.0  21 3d7.(4F).7p      o3F* 
61425.5  21 3d7.(4F).8p      n3F* 
61492.4  21 3d7.(4F).6f      m3F* 
61501.2  21 3d7.(4F).6h      l3F* 
61871.0  21 3d6.4s.(2F).4p   k3F* 
62304.5  21 3d7.(4F).7f      j3F* 
62309.9  21 3d7.(4F).7h      i3F* 
62380.2  21 3d7.(4F).9p      h3F* 
34081.1  27 3d7.(4F).4p      z3G* 
47655.6  27 3d7.(2G).4p      y3G* 
50064.4  27 3d7.(2H).4p      x3G* 
51897.0  27 3d6.4s.(4H).4p   w3G* 
52524.7  27 3d7.(4F).5p      v3G* 
55279.1  27 3d6.4s.(4F).4p   u3G* 
57628.6  27 3d7.(4F).6p      t3G* 
57667.0  27 3d7.(4F).4f      s3G* 
60021.9  27 3d7.(4F).7p      r3G* 
60117.4  27 3d6.4s.(4G).4p   q3G* 
60173.4  27 3d7.(4F).5f      p3G* 
61289.4  27 3d7.(4F).8p      o3G* 
61492.4  27 3d7.(4F).6f      n3G* 
61501.2  27 3d7.(4F).6h      m3G* 
61725.0  27 3d6.4s.(2H).4p   l3G* 
62146.4  27 3d7.(2G).5p      k3G* 
62301.2  27 3d7.(4F).7f      j3G* 
62309.9  27 3d7.(4F).7h      i3G* 
62401.0  27 3d7.(4F).9p      h3G* 
24153.2  33 3d6.4s2(6D).0s   a3H  
27872.2  33 3d7.(2H).4s      b3H  
53943.6  33 3d7.(4F).4d      c3H  
58468.0  33 3d7.(4F).5d      d3H  
60158.0  33 3d7.(4F).5g      e3H  
60583.8  33 3d7.(4F).6d      f3H  
61499.0  33 3d7.(4F).6g      g3H  
61754.7  33 3d7.(4F).7d      h3H  
62308.9  33 3d7.(4F).7g      i3H  
62309.9  33 3d7.(4F).7i      j3H  
62473.5  33 3d7.(4F).8d      k3H  
49438.9  33 3d7.(2G).4p      z3H* 
52078.0  33 3d7.(2H).4p      y3H* 
55754.2  33 3d6.4s.(4H).4p   x3H* 
57664.8  33 3d7.(4F).4f      w3H* 
58846.6  33 3d6.4s.(4G).4p   v3H* 
60145.9  33 3d7.(4F).5f      u3H* 
61492.4  33 3d7.(4F).6f      t3H* 
61501.2  33 3d7.(4F).6h      s3H* 
62243.0  33 3d7.(2G).5p      r3H* 
62303.4  33 3d7.(4F).7f      q3H* 
62309.9  33 3d7.(4F).7h      p3H* 
52863.8  39 3d6.4s.(4P).6h   z3I* 
59265.8  39 3d7.(2P).6h      y3I* 
59333.9  39 3d7.(4F).4f      x3I* 
60002.2  39 3d7.(2G).4f      w3I* 
61163.2  39 3d7.(4F).5f      v3I* 
61545.1  39 3d7.(4F).6h      u3I* 
62135.5  39 3d7.(4F).6f      t3I* 
62357.1  39 3d7.(4F).7h      s3I* 
60158.0  39 3d7.(4F).5g      a3I  
61500.1  39 3d7.(4F).6g      b3I  
62308.9  39 3d7.(4F).7g      c3I  
62309.9  39 3d7.(4F).7i      d3I  
60159.1  45 3d7.(4F).5g      a3K  
61501.2  45 3d7.(4F).6g      b3K  
62309.9  45 3d7.(4F).7g      c3K  
62309.9  45 3d7.(4F).7i      d3K  
61501.2  45 3d7.(4F).6h      z3K* 
62309.9  45 3d7.(4F).7h      y3K* 
