# Extracted from fe1.en.ls.txt from NORAD
#E[cm⁻¹]  g cfg              term                 
40518.3   5 3d6.4s.(4P).4p   z5S* 
45300.7   5 3d7.(4P).4p      y5S* 
57679.0   5 3d7.(4F).4f      x5S* 
60151.4   5 3d7.(4F).5f      w5S* 
61494.6   5 3d7.(4F).6f      v5S* 
62305.6   5 3d7.(4F).7f      u5S* 
26013.2  15 3d6.4s.(6D).4p   z5P* 
35988.4  15 3d6.4s.(4D).4p   y5P* 
43070.8  15 3d6.4s.(4P).4p   x5P* 
45172.3  15 3d7.(4P).4p      w5P* 
47980.4  15 3d6.4s.(6D).5p   v5P* 
51542.5  15 3d6.4s.(4D).4p   u5P* 
55624.8  15 3d6.4s.(6D).4f   t5P* 
55780.6  15 3d6.4s.(6D).6p   s5P* 
57650.5  15 3d7.(4F).4f      r5P* 
57710.9  15 3d6.4s.(4D).5p   q5P* 
58120.2  15 3d6.4s.(6D).5f   p5P* 
58360.5  15 3d6.4s.(6D).7p   o5P* 
59418.4  15 3d6.4s.(6D).8p   n5P* 
59476.5  15 3d6.4s.(6D).6f   m5P* 
59807.9  15 3d7.(4P).5p      l5P* 
60151.4  15 3d7.(4F).5f      k5P* 
60293.0  15 3d6.4s.(6D).7f   j5P* 
60378.6  15 3d6.4s.(6D).9p   i5P* 
60823.0  15 3d6.4s.(6D).8f   h5P* 
60866.9  15 3d6.4s.(6D).10p  g5P* 
61186.2  15 3d6.4s.(6D).9f   f5P* 
61212.6  15 3d6.4s.(6D).11p  e5P* 
61446.3  15 3d6.4s.(6D).10f  d5P* 
22743.1  25 3d6.4s.(6D).4p   z5D* 
31677.9  25 3d7.(4F).4p      y5D* 
38424.5  25 3d6.4s.(4D).4p   x5D* 
43524.0  25 3d6.4s.(4P).4p   w5D* 
45582.7  25 3d6.4s.(4F).4p   v5D* 
47823.5  25 3d7.(4P).4p      u5D* 
50340.9  25 3d6.4s.(6D).5p   t5D* 
52645.4  25 3d7.(4F).5p      s5D* 
55610.5  25 3d6.4s.(6D).4f   r5D* 
55688.4  25 3d6.4s.(6D).6p   q5D* 
57141.3  25 3d6.4s.(4D).5p   p5D* 
57676.8  25 3d7.(4F).4f      o5D* 
57717.4  25 3d7.(4F).6p      n5D* 
58111.4  25 3d6.4s.(6D).5f   m5D* 
58356.1  25 3d6.4s.(6D).7p   l5D* 
