#E[cm⁻¹]     g  configuration         term  p  ref
135986.4     7  2s2.2p3.(2D*<5/2>).13d 3D*  o  NIST
135986.4     3  2s2.2p3.(2D*<3/2>).13d 3S*  o  NIST
135986.4     3  2s2.2p3.(2D*<5/2>).13d 3D*  o  NIST
135986.4     5  2s2.2p3.(2D*<5/2>).13d 3D*  o  NIST
136000       5  2s2.2p3.(2D*<3/2>).14s 1D*  o  NIST
136000       3  2s2.2p3.(2D*<5/2>).13d 1P*  o  NIST
136011.0     5  2s2.2p3.(2D*<3/2>).13d 3P*  o  NIST
136011.7     3  2s2.2p3.(2D*<3/2>).13d 3P*  o  NIST
136071.3     3  2s2.2p3.(2D*<3/2>).14d 3S*  o  NIST
136071.3     5  2s2.2p3.(2D*<5/2>).14d 3D*  o  NIST
136071.3     7  2s2.2p3.(2D*<5/2>).14d 3D*  o  NIST
136071.3     3  2s2.2p3.(2D*<5/2>).14d 3D*  o  NIST
136085       3  2s2.2p3.(2D*<5/2>).14d 1P*  o  NIST
136100.1     5  2s2.2p3.(2D*<3/2>).14d 3P*  o  NIST
136138.9     5  2s2.2p3.(2D*<5/2>).15d 3D*  o  NIST
136138.9     3  2s2.2p3.(2D*<5/2>).15d 3D*  o  NIST
136138.9     7  2s2.2p3.(2D*<5/2>).15d 3D*  o  NIST
136138.9     3  2s2.2p3.(2D*<3/2>).15d 3S*  o  NIST
136171.5     5  2s2.2p3.(2D*<3/2>).15d 3P*  o  NIST
136194.4     7  2s2.2p3.(2D*<5/2>).16d 3D*  o  NIST
136194.4     3  2s2.2p3.(2D*<5/2>).16d 3D*  o  NIST
136194.4     3  2s2.2p3.(2D*<3/2>).16d 3S*  o  NIST
136194.4     5  2s2.2p3.(2D*<5/2>).16d 3D*  o  NIST
136242.2     5  2s2.2p3.(2D*<3/2>).16d 3P*  o  NIST
136353       3  2s2.2p3.(2P*).4s       1P*  o  NIST
136647.67    6  2s2.2p3                2D*  o  NIST
136667.46    4  2s2.2p3                2D*  o  NIST
137928       5  2s2.2p3.(2P*).3d       1D*  o  NIST
137946.5     5  2s2.2p3.(2P*).3d       3P*  o  NIST
137946.5     3  2s2.2p3.(2P*).3d       3P*  o  NIST
137946.5     1  2s2.2p3.(2P*).3d       3P*  o  NIST
137962.5     7  2s2.2p3.(2P*).3d       3D*  o  NIST
137962.5     5  2s2.2p3.(2P*).3d       3D*  o  NIST
137962.5     3  2s2.2p3.(2P*).3d       3D*  o  NIST
137981       3  2s2.2p3.(2P*).3d       1P*  o  NIST
142650.5     1  2s2.2p3.(2P*).5s       3P*  o  NIST
142650.5     5  2s2.2p3.(2P*).5s       3P*  o  NIST
142650.5     3  2s2.2p3.(2P*).5s       3P*  o  NIST
142743       3  2s2.2p3.(2P*).5s       1P*  o  NIST
143359       5  2s2.2p3.(2P*).4d       1D*  o  NIST
143363.4     3  2s2.2p3.(2P*).4d       3P*  o  NIST
143363.4     5  2s2.2p3.(2P*).4d       3D*  o  NIST
143363.4     1  2s2.2p3.(2P*).4d       3P*  o  NIST
143363.4     3  2s2.2p3.(2P*).4d       3D*  o  NIST
143363.4     5  2s2.2p3.(2P*).4d       3P*  o  NIST
143363.4     7  2s2.2p3.(2P*).4d       3D*  o  NIST
143384       3  2s2.2p3.(2P*).4d       1P*  o  NIST
145516.5     1  2s2.2p3.(2P*).6s       3P*  o  NIST
145516.5     3  2s2.2p3.(2P*).6s       3P*  o  NIST
145516.5     5  2s2.2p3.(2P*).6s       3P*  o  NIST
145620       3  2s2.2p3.(2P*).6s       1P*  o  NIST
145868       5  2s2.2p3.(2P*).5d       1D*  o  NIST
145870.5     3  2s2.2p3.(2P*).5d       3P*  o  NIST
145870.5     5  2s2.2p3.(2P*).5d       3D*  o  NIST
145870.5     3  2s2.2p3.(2P*).5d       3D*  o  NIST
145870.5     1  2s2.2p3.(2P*).5d       3P*  o  NIST
145870.5     7  2s2.2p3.(2P*).5d       3D*  o  NIST
145870.5     5  2s2.2p3.(2P*).5d       3P*  o  NIST
145887       3  2s2.2p3.(2P*).5d       1P*  o  NIST
147028.7     1  2s2.2p3.(2P*).7s       3P*  o  NIST
147028.7     3  2s2.2p3.(2P*).7s       3P*  o  NIST
147028.7     5  2s2.2p3.(2P*).7s       3P*  o  NIST
147057       3  2s2.2p3.(2P*).7s       1P*  o  NIST
147229       5  2s2.2p3.(2P*).6d       1D*  o  NIST
147230.1     5  2s2.2p3.(2P*).6d       3P*  o  NIST
147230.1     3  2s2.2p3.(2P*).6d       3P*  o  NIST
147230.1     1  2s2.2p3.(2P*).6d       3P*  o  NIST
147230.1     5  2s2.2p3.(2P*).6d       3D*  o  NIST
147230.1     3  2s2.2p3.(2P*).6d       3D*  o  NIST
147230.1     7  2s2.2p3.(2P*).6d       3D*  o  NIST
147240       3  2s2.2p3.(2P*).6d       1P*  o  NIST
147921.1     1  2s2.2p3.(2P*).8s       3P*  o  NIST
147921.1     3  2s2.2p3.(2P*).8s       3P*  o  NIST
147921.1     5  2s2.2p3.(2P*).8s       3P*  o  NIST
147942       3  2s2.2p3.(2P*).8s       1P*  o  NIST
148045       5  2s2.2p3.(2P*).7d       1D*  o  NIST
148047.7     3  2s2.2p3.(2P*).7d       3P*  o  NIST
148047.7     3  2s2.2p3.(2P*).7d       3D*  o  NIST
148047.7     5  2s2.2p3.(2P*).7d       3D*  o  NIST
148047.7     7  2s2.2p3.(2P*).7d       3D*  o  NIST
148047.7     5  2s2.2p3.(2P*).7d       3P*  o  NIST
148047.7     1  2s2.2p3.(2P*).7d       3P*  o  NIST
148058       3  2s2.2p3.(2P*).7d       1P*  o  NIST
148495.5     3  2s2.2p3.(2P*).9s       3P*  o  NIST
148495.5     1  2s2.2p3.(2P*).9s       3P*  o  NIST
148495.5     5  2s2.2p3.(2P*).9s       3P*  o  NIST
148505       3  2s2.2p3.(2P*).9s       1P*  o  NIST
148576.9     7  2s2.2p3.(2P*).8d       3D*  o  NIST
148576.9     1  2s2.2p3.(2P*).8d       3P*  o  NIST
148576.9     5  2s2.2p3.(2P*).8d       3D*  o  NIST
148576.9     3  2s2.2p3.(2P*).8d       3P*  o  NIST
148576.9     3  2s2.2p3.(2P*).8d       3D*  o  NIST
148576.9     5  2s2.2p3.(2P*).8d       3P*  o  NIST
148578       5  2s2.2p3.(2P*).8d       1D*  o  NIST
148582       3  2s2.2p3.(2P*).8d       1P*  o  NIST
148882.9     1  2s2.2p3.(2P*).10s      3P*  o  NIST
148882.9     3  2s2.2p3.(2P*).10s      3P*  o  NIST
148882.9     5  2s2.2p3.(2P*).10s      3P*  o  NIST
148891       3  2s2.2p3.(2P*).10s      1P*  o  NIST
148941       5  2s2.2p3.(2P*).9d       1D*  o  NIST
148945.4     7  2s2.2p3.(2P*).9d       3D*  o  NIST
148945.4     1  2s2.2p3.(2P*).9d       3P*  o  NIST
148945.4     5  2s2.2p3.(2P*).9d       3P*  o  NIST
148945.4     5  2s2.2p3.(2P*).9d       3D*  o  NIST
148945.4     3  2s2.2p3.(2P*).9d       3P*  o  NIST
148945.4     3  2s2.2p3.(2P*).9d       3D*  o  NIST
148946       3  2s2.2p3.(2P*).9d       1P*  o  NIST
149159.1     5  2s2.2p3.(2P*).11s      3P*  o  NIST
149159.1     3  2s2.2p3.(2P*).11s      3P*  o  NIST
149159.1     1  2s2.2p3.(2P*).11s      3P*  o  NIST
149168       3  2s2.2p3.(2P*).11s      1P*  o  NIST
149200.6     3  2s2.2p3.(2P*).10d      3P*  o  NIST
149200.6     3  2s2.2p3.(2P*).10d      3D*  o  NIST
149200.6     5  2s2.2p3.(2P*).10d      3D*  o  NIST
149200.6     1  2s2.2p3.(2P*).10d      3P*  o  NIST
149200.6     5  2s2.2p3.(2P*).10d      3P*  o  NIST
149200.6     7  2s2.2p3.(2P*).10d      3D*  o  NIST
149203       5  2s2.2p3.(2P*).10d      1D*  o  NIST
149359.4     1  2s2.2p3.(2P*).12s      3P*  o  NIST
149359.4     3  2s2.2p3.(2P*).12s      3P*  o  NIST
149359.4     5  2s2.2p3.(2P*).12s      3P*  o  NIST
149390.6     5  2s2.2p3.(2P*).11d      3P*  o  NIST
149390.6     3  2s2.2p3.(2P*).11d      3P*  o  NIST
149390.6     1  2s2.2p3.(2P*).11d      3P*  o  NIST
149390.6     5  2s2.2p3.(2P*).11d      3D*  o  NIST
149390.6     3  2s2.2p3.(2P*).11d      3D*  o  NIST
149390.6     7  2s2.2p3.(2P*).11d      3D*  o  NIST
149392       5  2s2.2p3.(2P*).11d      1D*  o  NIST
149514.4     3  2s2.2p3.(2P*).13s      3P*  o  NIST
149514.4     1  2s2.2p3.(2P*).13s      3P*  o  NIST
149514.4     5  2s2.2p3.(2P*).13s      3P*  o  NIST
149539.4     7  2s2.2p3.(2P*).12d      3D*  o  NIST
149539.4     5  2s2.2p3.(2P*).12d      3P*  o  NIST
149539.4     3  2s2.2p3.(2P*).12d      3D*  o  NIST
149539.4     3  2s2.2p3.(2P*).12d      3P*  o  NIST
149539.4     1  2s2.2p3.(2P*).12d      3P*  o  NIST
149539.4     5  2s2.2p3.(2P*).12d      3D*  o  NIST
149631.8     3  2s2.2p3.(2P*).14s      3P*  o  NIST
149631.8     5  2s2.2p3.(2P*).14s      3P*  o  NIST
149631.8     1  2s2.2p3.(2P*).14s      3P*  o  NIST
149652.2     7  2s2.2p3.(2P*).13d      3D*  o  NIST
149652.2     3  2s2.2p3.(2P*).13d      3P*  o  NIST
149652.2     3  2s2.2p3.(2P*).13d      3D*  o  NIST
149652.2     5  2s2.2p3.(2P*).13d      3D*  o  NIST
149652.2     1  2s2.2p3.(2P*).13d      3P*  o  NIST
149652.2     5  2s2.2p3.(2P*).13d      3P*  o  NIST
149744.9     3  2s2.2p3.(2P*).14d      3P*  o  NIST
149744.9     1  2s2.2p3.(2P*).14d      3P*  o  NIST
149744.9     5  2s2.2p3.(2P*).14d      3D*  o  NIST
149744.9     3  2s2.2p3.(2P*).14d      3D*  o  NIST
149744.9     7  2s2.2p3.(2P*).14d      3D*  o  NIST
149744.9     5  2s2.2p3.(2P*).14d      3P*  o  NIST
149815.6     3  2s2.2p3.(2P*).15d      3D*  o  NIST
149815.6     5  2s2.2p3.(2P*).15d      3D*  o  NIST
149815.6     1  2s2.2p3.(2P*).15d      3P*  o  NIST
149815.6     3  2s2.2p3.(2P*).15d      3P*  o  NIST
149815.6     5  2s2.2p3.(2P*).15d      3P*  o  NIST
149815.6     7  2s2.2p3.(2P*).15d      3D*  o  NIST
149923.7     5  2s2.2p3.(2P*).17d      3P*  o  NIST
149923.7     3  2s2.2p3.(2P*).17d      3D*  o  NIST
149923.7     5  2s2.2p3.(2P*).17d      3D*  o  NIST
149923.7     1  2s2.2p3.(2P*).17d      3P*  o  NIST
149923.7     3  2s2.2p3.(2P*).17d      3P*  o  NIST
149923.7     7  2s2.2p3.(2P*).17d      3D*  o  NIST
149961.5     5  2s2.2p3.(2P*).18d      3D*  o  NIST
149961.5     1  2s2.2p3.(2P*).18d      3P*  o  NIST
149961.5     3  2s2.2p3.(2P*).18d      3P*  o  NIST
149961.5     5  2s2.2p3.(2P*).18d      3P*  o  NIST
149961.5     7  2s2.2p3.(2P*).18d      3D*  o  NIST
149961.5     3  2s2.2p3.(2P*).18d      3D*  o  NIST
150000.8     1  2s2.2p3.(2P*).19d      3P*  o  NIST
150000.8     5  2s2.2p3.(2P*).19d      3D*  o  NIST
150000.8     3  2s2.2p3.(2P*).19d      3P*  o  NIST
150000.8     3  2s2.2p3.(2P*).19d      3D*  o  NIST
150000.8     5  2s2.2p3.(2P*).19d      3P*  o  NIST
150000.8     7  2s2.2p3.(2P*).19d      3D*  o  NIST
150305.6     6  2s2.2p3                2P*  o  NIST
