#E[cm⁻¹]     g  configuration         term  p  ref
106785.201   9  2s2.2p3.(4S*).6f       3F   e  NIST
106787.903   9  2s2.2p3.(4S*).6g       3G*  o  NIST
106787.903   7  2s2.2p3.(4S*).6g       5G*  o  NIST
106787.903   5  2s2.2p3.(4S*).6g       5G*  o  NIST
106787.903   7  2s2.2p3.(4S*).6g       3G*  o  NIST
106787.903  11  2s2.2p3.(4S*).6g       5G*  o  NIST
106787.903   9  2s2.2p3.(4S*).6g       5G*  o  NIST
106787.903  11  2s2.2p3.(4S*).6g       3G*  o  NIST
106787.903  13  2s2.2p3.(4S*).6g       5G*  o  NIST
107446.036   5  2s2.2p3.(4S*).8s       5S*  o  NIST
107497.224   3  2s2.2p3.(4S*).8s       3S*  o  NIST
107573.476   9  2s2.2p3.(4S*).7d       5D*  o  NIST
107573.484   7  2s2.2p3.(4S*).7d       5D*  o  NIST
107573.495   5  2s2.2p3.(4S*).7d       5D*  o  NIST
107573.504   3  2s2.2p3.(4S*).7d       5D*  o  NIST
107573.508   1  2s2.2p3.(4S*).7d       5D*  o  NIST
107582.777   5  2s2.2p3.(4S*).7d       3D*  o  NIST
107582.777   3  2s2.2p3.(4S*).7d       3D*  o  NIST
107582.777   7  2s2.2p3.(4S*).7d       3D*  o  NIST
107595.140   3  2s2.2p3.(4S*).7f       5F   e  NIST
107595.140   9  2s2.2p3.(4S*).7f       5F   e  NIST
107595.140   7  2s2.2p3.(4S*).7f       5F   e  NIST
107595.140   5  2s2.2p3.(4S*).7f       5F   e  NIST
107595.140  11  2s2.2p3.(4S*).7f       5F   e  NIST
107595.147   9  2s2.2p3.(4S*).7f       3F   e  NIST
107595.147   7  2s2.2p3.(4S*).7f       3F   e  NIST
107595.147   5  2s2.2p3.(4S*).7f       3F   e  NIST
108021.400   5  2s2.2p3.(4S*).9s       5S*  o  NIST
108056.000   3  2s2.2p3.(4S*).9s       3S*  o  NIST
108106.072   9  2s2.2p3.(4S*).8d       5D*  o  NIST
108106.077   7  2s2.2p3.(4S*).8d       5D*  o  NIST
108106.085   5  2s2.2p3.(4S*).8d       5D*  o  NIST
108106.091   3  2s2.2p3.(4S*).8d       5D*  o  NIST
108106.094   1  2s2.2p3.(4S*).8d       5D*  o  NIST
108114.0     5  2s2.2p3.(4S*).8d       3D*  o  NIST
108114.0     3  2s2.2p3.(4S*).8d       3D*  o  NIST
108114.0     7  2s2.2p3.(4S*).8d       3D*  o  NIST
108412.0     5  2s2.2p3.(4S*).10s      5S*  o  NIST
108436.3     3  2s2.2p3.(4S*).10s      3S*  o  NIST
108470.23    1  2s2.2p3.(4S*).9d       5D*  o  NIST
108470.23    3  2s2.2p3.(4S*).9d       5D*  o  NIST
108470.23    5  2s2.2p3.(4S*).9d       5D*  o  NIST
108470.23    7  2s2.2p3.(4S*).9d       5D*  o  NIST
108470.23    9  2s2.2p3.(4S*).9d       5D*  o  NIST
