40406.67    5 6s.12p     3P*        o NIST
40407.41    3 6s.11d     3D         e NIST
40413.61    5 6s.11d     3D         e NIST
40423.41    7 6s.11d     3D         e NIST
40428.68    3 6s.12p     1P*        o NIST
40483.59    5 6s.11d     1D         e NIST
40569.01    3 6s.13s     3S         e NIST
40613.87    5 6s.9f      3F*        o NIST
40618.20    1 6s.13s     1S         e NIST
40662.86    3 5d.4f      (5/2,7/2)* o NIST
40663.95    7 6s.9g      3G         e NIST
40665.56    9 6s.9g      3G         e NIST
40665.56   11 6s.9g      3G         e NIST
40665.56    9 6s.9g      1G         e NIST
40684.41    3 5d.7d      3D         e NIST
40905.72    5 5d.7d      3D         e NIST
41459.38    7 5d.7d      3D         e NIST
40698.60    7 5d.7d      3G         e NIST
40974.30    9 5d.7d      3G         e NIST
41550.29   11 5d.7d      3G         e NIST
40732.01    3 6s.13p     3P*        o NIST
40741.76    5 6s.13p     3P*        o NIST
40736.81    3 5d.4f      (5/2,5/2)* o NIST
40742.6     3 6s.12d     3D         e NIST
40748.01    5 6s.12d     3D         e NIST
40748.20    7 6s.12d     3D         e NIST
40765.23    3 6s.13p     1P*        o NIST
40781.43    5 6s.12d     1D         e NIST
40867.31    7 5d.7d      1F         e NIST
40869.7     3 6s.14s     3S         e NIST
40891.57    1 6s.14s     1S         e NIST
40893.76    3 5d.8p      3D*        o NIST
40895.14    5 6s.10f     3F*        o NIST
40925.41    9 6s.10g     3G         e NIST
40926.77    7 6s.10g     3G         e NIST
40926.77   11 6s.10g     3G         e NIST
40926.77    9 6s.10g     1G         e NIST
40973.65    3 6s.14p     3P*        o NIST
40982.86    5 6s.14p     3P*        o NIST
40982.38    3 6s.13d     3D         e NIST
40987.22    7 6s.13d     3D         e NIST
40987.27    5 6s.13d     3D         e NIST
40991.23    3 6s.14p     1P*        o NIST
41007.72    5 6s.13d     1D         e NIST
41019.57    3 5d.7d      3S         e NIST
41082.25    3 6s.15s     3S         e NIST
41083.92    1 5d.8p      3P*        o NIST
41097.20    3 5d.8p      3P*        o NIST
41759.93    5 5d.8p      3P*        o NIST
41093.00    1 6s.15s     1S         e NIST
41100.7     5 6s.11f     3F*        o NIST
41119.22    9 6s.11g     1G         e NIST
41119.22   11 6s.11g     3G         e NIST
41119.22    7 6s.11g     3G         e NIST
41119.99    9 6s.11g     3G         e NIST
41159.83    3 6s.15p     3P*        o NIST
41162.15    5 6s.15p     3P*        o NIST
41162.43    5 6s.14d     1D         e NIST
41163.02    3 6s.14d     3D         e NIST
41164.61    5 6s.14d     3D         e NIST
41164.72    7 6s.14d     3D         e NIST
41183.60    3 6s.15p     1P*        o NIST
41204.74    5 5d.7d      3F         e NIST
41726.63    7 5d.7d      3F         e NIST
41845.63    9 5d.7d      3F         e NIST
41235.85    3 6s.16s     3S         e NIST
41245.20    1 6s.16s     1S         e NIST
41251.2     5 6s.12f     3F*        o NIST
41266.46    7 6s.12g     3G         e NIST
41266.46    9 6s.12g     3G         e NIST
41266.46   11 6s.12g     3G         e NIST
41266.46    9 6s.12g     1G         e NIST
41295.93    1 6s.16p     3P*        o NIST
41296.96    3 6s.16p     3P*        o NIST
41299.33    5 6s.16p     3P*        o NIST
41299.58    3 6s.15d     3D         e NIST
41300.40    5 6s.15d     3D         e NIST
41300.82    7 6s.15d     3D         e NIST
41307.88    3 6s.16p     1P*        o NIST
41315.49    5 6s.15d     1D         e NIST
41356.24    3 6s.17s     3S         e NIST
41362.31    1 6s.17s     1S         e NIST
41379.96    7 6s.13g     3G         e NIST
41380.36    9 6s.13g     3G         e NIST
41380.36   11 6s.13g     3G         e NIST
41380.36    9 6s.13g     1G         e NIST
41404.40    3 6s.17p     3P*        o NIST
41406.53    5 6s.17p     3P*        o NIST
41405.97    7 6s.16d     3D         e NIST
41406.52    3 6s.16d     3D         e NIST
41407.13    5 6s.16d     3D         e NIST
41411.04    3 6s.17p     1P*        o NIST
41417.58    5 6s.16d     1D         e NIST
41441.22    1 5d.7d      3P         e NIST
41930.91    3 5d.7d      3P         e NIST
41451.26    3 6s.18s     3S         e NIST
41467.80    1 6s.18s     1S         e NIST
41470.59   11 6s.14g     3G         e NIST
41470.59    9 6s.14g     3G         e NIST
41470.96    7 6s.14g     3G         e NIST
41470.59    9 6s.14g     1G         e NIST
41490.09    3 6s.18p     3P*        o NIST
41491.80    5 6s.18p     3P*        o NIST
41491.56    3 6s.17d     3D         e NIST
41492.22    5 6s.17d     3D         e NIST
41495.62    7 6s.17d     3D         e NIST
41494.39    3 6s.18p     1P*        o NIST
41500.00    5 6s.17d     1D         e NIST
41527.15    3 6s.19s     3S         e NIST
41535.25    1 6s.19s     1S         e NIST
41539.69   11 6s.15g     3G         e NIST
41543.76    7 6s.15g     3G         e NIST
41543.76    9 6s.15g     3G         e NIST
41543.76    9 6s.15g     1G         e NIST
41559.01    3 6s.18d     3D         e NIST
41561.13    5 6s.18d     3D         e NIST
