#E[cm⁻¹]         g  cfg   term p ref
  34797.3141     6  3p6.23d 2D  e NIST
  34797.3174     4  3p6.23d 2D  e NIST
  34799.0740     2  3p6.25s 2S  e NIST
  34814.8472     6  3p6.24d 2D  e NIST
  34814.8502     4  3p6.24d 2D  e NIST
  34816.3971     2  3p6.26s 2S  e NIST
  34810.8910     2  3p6.25p 2P* o VALD
  34810.8910     4  3p6.25p 2P* o VALD
  34827.0200     2  3p6.26p 2P* o VALD
  34827.0200     4  3p6.26p 2P* o VALD
  34830.2969     6  3p6.25d 2D  e NIST
  34830.2994     4  3p6.25d 2D  e NIST
  34831.6690     2  3p6.27s 2S  e NIST
  34835.0860     2  3p6.27p 2P* o VALD
  34835.0860     4  3p6.27p 2P* o VALD
  34843.9804     6  3p6.26d 2D  e NIST
  34843.9827     4  3p6.26d 2D  e NIST
  34845.2004     2  3p6.28s 2S  e NIST
  34856.1570     6  3p6.27d 2D  e NIST
  34856.1590     4  3p6.27d 2D  e NIST
  34857.2470     2  3p6.29s 2S  e NIST
  34867.0404     6  3p6.28d 2D  e NIST
  34867.0423     4  3p6.28d 2D  e NIST
  34868.0180     2  3p6.30s 2S  e NIST
  34876.8070     6  3p6.29d 2D  e NIST
  34876.8087     4  3p6.29d 2D  e NIST
  34877.6871     2  3p6.31s 2S  e NIST
  34885.6048     6  3p6.30d 2D  e NIST
  34885.6062     4  3p6.30d 2D  e NIST
  34886.3999     2  3p6.32s 2S  e NIST
  34893.5578     6  3p6.31d 2D  e NIST
  34893.5591     4  3p6.31d 2D  e NIST
  34894.2785     2  3p6.33s 2S  e NIST
  34900.7707     6  3p6.32d 2D  e NIST
  34900.7719     4  3p6.32d 2D  e NIST
  34901.4264     2  3p6.34s 2S  e NIST
  34907.3326     6  3p6.33d 2D  e NIST
  34907.3337     4  3p6.33d 2D  e NIST
  34907.9301     2  3p6.35s 2S  e NIST
  34913.3194     6  3p6.34d 2D  e NIST
  34913.3204     4  3p6.34d 2D  e NIST
  34913.8657     2  3p6.36s 2S  e NIST
  34918.7968     6  3p6.35d 2D  e NIST
  34918.7976     4  3p6.35d 2D  e NIST
  34919.2976     2  3p6.37s 2S  e NIST
  34923.8203     6  3p6.36d 2D  e NIST
  34923.8212     4  3p6.36d 2D  e NIST
  34924.2808     2  3p6.38s 2S  e NIST
  34928.4396     6  3p6.37d 2D  e NIST
