#E[cm⁻¹]     g  configuration           term
 369171.93  11  2s2.2p5.(2P*<3/2>).6f   2[9/2]  
 369172.01   9  2s2.2p5.(2P*<3/2>).6f   2[9/2]  
 369184.02  12  2s2.2p5.(2P*<3/2>).6g   2[5/2]* 
 369186.50   7  2s2.2p5.(2P*<3/2>).6f   2[5/2]  
 369186.73   5  2s2.2p5.(2P*<3/2>).6f   2[5/2]  
 369189.22  24  2s2.2p5.(2P*<3/2>).6g   2[11/2]*
 369198.7   16  2s2.2p5.(2P*<3/2>).6g   2[7/2]* 
 369199.6   16  2s2.2p5.(2P*<3/2>).6f   2[7/2]  
 369203.4   20  2s2.2p5.(2P*<3/2>).6g   2[9/2]* 
 370035.6    3  2s2.2p5.(2P*<1/2>).6d   2[3/2]* 
 370378.6    3  2s2.2p5.(2P*<1/2>).7s   2[1/2]* 
 370547.8   16  2s2.2p5.(2P*<1/2>).6f   2[7/2]  
 370548.06   7  2s2.2p5.(2P*<1/2>).6f   2[5/2]  
 370548.50   5  2s2.2p5.(2P*<1/2>).6f   2[5/2]  
 370560.6   16  2s2.2p5.(2P*<1/2>).6g   2[7/2]* 
 370560.6   20  2s2.2p5.(2P*<1/2>).6g   2[9/2]* 
 371910      3  2s2.2p5.(2P*<3/2>).8s   2[3/2]* 
 371910      3  2s2.2p5.(2P*<3/2>).7d   2[3/2]* 
 372407.6    3  2s2.2p5.(2P*<3/2>).7f   2[3/2]  
 372407.9    5  2s2.2p5.(2P*<3/2>).7f   2[3/2]  
 372415.9   20  2s2.2p5.(2P*<3/2>).7f   2[9/2]  
 372423.4   12  2s2.2p5.(2P*<3/2>).7g   2[5/2]* 
 372425.4   12  2s2.2p5.(2P*<3/2>).7f   2[5/2]  
 372426.7   24  2s2.2p5.(2P*<3/2>).7g   2[11/2]*
 372432.3   16  2s2.2p5.(2P*<3/2>).7g   2[7/2]* 
 372433.3   16  2s2.2p5.(2P*<3/2>).7f   2[7/2]  
