#E[cm⁻¹]      g  cfg        term p ref     
     0.000    9  3d6.4s2     a5D e NIST    
   415.933    7  3d6.4s2     a5D e NIST
   704.007    5  3d6.4s2     a5D e NIST
   888.132    3  3d6.4s2     a5D e NIST
   978.074    1  3d6.4s2     a5D e NIST
  6928.268   11  3d7.(4F).4s a5F e NIST    
  7376.764    9  3d7.(4F).4s a5F e NIST    
  7728.060    7  3d7.(4F).4s a5F e NIST    
  7985.785    5  3d7.(4F).4s a5F e NIST    
  8154.714    3  3d7.(4F).4s a5F e NIST 
